0,may dri nose may help moistur membran  dri membran lead septal perfor  though mani caus 0,use salt water nasal spray help prevent develop perfor septum 0,rhinoplasti  facelift  facial plastic surgeri  septoplasti  eyelid lift  nasal fractur  nasal septum repair  nasal polyp remov  eye lift  skin cancer 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
1247,yes ra typic affect certain joint  certain affect multipl joint morn stiff your 26  see ortho rheumatologist  possibl med 1247,ra sever multipl bone eros multipl joint caus widespread joint pain morn stiff 1247,exercis  sport medicin  knee injuri  shoulder injuri 1247,stiff  joint pain  rheumatoid arthriti  morn stiff  ra
1248,normal within normal rang 1248,latest liver enzym test show alt 11 ast 20  read 2:1 ratio ast alt indic liver diseas number pretti close  tell thought 29 year old femal drin 1248,cardiolog  hypertens  angina  myocardi infarct  coronari arteri diseas  valvular heart diseas  coronari angioplasti  congest heart failur 1248,breast cancer  alcohol abus  liver diseas  alcohol  sgpt  sgot  alcohol  ast
1249,decondit cardiac pulmonari work negat evalu like caus decondit lack exercis obes  check physician may begin walk program slowli increas level activ  notic function level increas short breath increas 1249,cardiac ct  stres tst holter  cardiac echo normal feel tire w air hunger walk  pain left blade hand mild reflux clear lung obes reason 1249,sleep  heartburn  low blood count  ringworm  addict  drug addict  diabet risk 1249,stress  reflux  obes  appetit  echo  comput tomographi  cardiac echo  holter monitor
1250,featur associ benefit antibiot fever  node  tender node  gunk back throat even strong indic  cough discolor phlegm even reason  lung inflamm like wheez  breath issu address 1250,start day 4 sore throat  much wors night  side neck gland tender  congest  fever good appetit  bother see dr 1250,exercis  lose weight  stress  supplement  ulcer  age grace  diabet type 2  migrain headach  white cell count  oxygen  suboxon  intern medicin  suboxon withdraw  opiat withdraw  medic  pharmacolog 1250,throat pain  sore throat  fever  appetit
1251,even assum masus hiv posit risk low nil contract hiv type exposur  hiv contract exchang bodili fluid touch 1251,girl bodi massag insert finger vagina 5 min shes hivam realli worriednot pregnant  period sinc 50 day 1251,headach  numb  surgeri  exercis  bruis  sleep  diabet  ulcer  chest pain  cough  exercis  broken bone  dementia  hypertens  eat healthier  wound  sport medicin  heart diseas  joint 1251,absent period  human immunodefici virus  hiv  pregnanc
1252,may need seen would keep eye symptom  either period start pain go away  continu pain  continu pain one side spot  need seen  sign ectop pregnanc quit serious  home pregnanc test wont help case  need blood pregnanc test  best wish 1252,period  suppos start today  instead spot mild pain ovari  sexual activ birth control  ok 1252,contracept  ovul 1252,menstrual period  menstrual cycl  contracept  birth control
1253,check check sleep posit 1253,woke twice past week withi finger tingl numb right hand   took minut go away  ive read possibl carpal tunnel 1253,depress  nutrit 1253,tingl  numb  carpal tunnel syndrom
1254,tonsil stone symptom suggest tonsil stone  also call tonsillolith calculi  may concret tonsillar crypt  throat sore throat symptom  may use salt water gargl 1 2 tsp per 1 cup water sever time daili  otc sore throat lozeng   tonsil stone concern  except may caus halitosi  hope help 1254,back throat behind tonsil small whitish yellow bump tonsil back mouth small red vein everywher  concern 1254,nan 1254,nan
1255,sore gum remot caus may small splinter bone wisdom tooth float gum  may ulcer sore like canker sore herp lesion attack locat make left jaw pain difficulti swallow  also  gum get local infect surround tooth  heal within week 1255,gum left side back mouth hurt  bhind last molar  wisdom teeth pull year ago  els may caus irrit 1255,abscess  canker sore  aphthous stomat  gum diseas  tmj syndrom  cancer  tooth pain  child health  blister mouth  oral surgeri  children health  wisdom tooth extract  root canal  gingiv  oral cancer  dentistri  cari  headach  dental pain  dental cari 1255,teeth  abscess  bacteria  tooth decay  dental care  tooth extract  wisdom teeth
1256,concern numb right arm leg concern  fact spread especi alarm  migrain would caus problem  need seek immedi medic attent  condit stroke could caus symptom  dont look answer internet  wont abl self diagnos problem  see physician soon possibl go er 1256,numb right arm leg 2wk  start tingl w migrain  numb  expand quit pain  realli migrain 1256,abnorm vagin bleed  depress  chest pain  cognit behavior therapi  herniat disk  gastroesophag reflux diseas  medit  irregular menstrual period  urinari tract infect  panic attack  pelvic pain  delay menstrual period  heartburn  oral herp simplex  menstrual cycl chang  tinnitus  otiti media  manag migrain  chronic cough  live major depress 1256,migrain headach  numb  tingl  migrain
1257,xray possibl requir xray evalu size natur bump 1257,dropfoot  nervdamag left leg  alway pain  ortopedicsho walk toe bone top foot bigger  bump foot smaller bump 1257,nan 1257,footdrop  nerv damag  laparoscop surgeri  nerv  nerv surgeri  gait
1258,part cbc cbc complet blood count includ thing  hemoglobin hematocrit measur red blood cell  low level mean anemia  other describ red cell shape  color size help doctor find caus anemia  present  mean  c cell concentr  v volum  h hemoglobin  rdw rbc distribut width 1258,confus recent blood work  hemoglobin  hematocrit  mcv  mch  mchc rdw 1258,cancer  leukemia  low blood count  multipl myeloma  non hodgkin lymphoma 1258,mental confus  hematocrit
1259,stress fractur get x=ray rule fractur  could also capsul 1259,pain foot second toe right foot connect foot  swollen also doc alreadi go 1259,diabet foot  bunion repair 1259,arthriti  disloc  avascular necrosi  necrosi  injuri prevent
1260,could dark circl eye could part call allerg faci  continu expos thing like smoke dust  believ caus symptom  may want tri otc antihistamin like claritin daili week  effect see doctor option  mask good idea also expos dust smoke lot 1260,dont allergi allergi like reaction includ nasal congest dust  smoke  scent  etc  caus dark circl 1260,concuss  sport medicin  pediatr  musculoskelet problem  men health  sport injuri 1260,rhiniti  stuf nose  congest nose  hypersensit  block nose  child allergi  oxymetazolin  allergi
1261,yes beyond cirrhosi  caus chronic hepat b 1261,cirrhosi liver increas risk  liver cancer 1261,hepat  inflammatori bowel diseas  gastroesophag reflux diseas  cirrhosi liver  celiac diseas  ulcer coliti 1261,cirrhosi liver  cancer  liver cancer  hepatocellular carcinoma
1262,need evalu yes  describ lump evalu primari care physician surgeon  dont delay 1262,armpit lump pain  famili histori breast cancer  seen biopsi 1262,cancer  melanoma  stomach cancer  laparoscop surgeri  liver cancer  pancreat cancer 1262,breast carcinoma  breast cancer  cancer  femal health  breast surgeri  biopsi  needl biopsi
1263,clarif need tripl negat breast cancer refer breast cancer test negat estrogen receptor protein er  progesteron receptor protein pr her2 neu  tend aggress tumor  descript  tumor posit er her2  open sever treatment option tripl negat patient dont  clarifi status oncologist 1263,im er+ pr her2+  told tripl negat breast cancer 1263,breast cancer  bph  breast biopsi  fine needl aspir  breast diseas 1263,breast cancer  breast carcinoma  cancer  femal health  chemotherapi
1264,gallbladd problem gb pain often upper right abdomen  occasion refer right shoulder  avoid fri  fatti  greasi food  one high cholesterol like egg  make appt fp general surgeon mani laparoscop cholecystectomi small incis  quicker recoveri time   unless complic  doc may advis watch wait surgeri becom necessari 1264,think gallston  pain upper abdomen  bloat  gas  diarrhea  nausea  intoler fatti food feel like gambl eat 1264,exercis  eat healthier  exercis  exercis brain  healthi cook  child health  children health  sleep  femal health  healthi diet  diabet  fever  diet  skin lesion  infecti diseas  prevent fall  vaccin prevent ill  prevent flu 1264,reflux  nausea  fussi  diarrhea  loos stool  flatul  abdomin bloat  pass gas  dysenteri  irrit bowel syndrom
1265,hormon treatment general  tamoxifen use premenopaus women aromatas inhibitor use postmenopaus women 1265,combin tamoxifen plus hormon therapi better breast cancer pre postmenopaus women 1265,breast cancer  breast carcinoma  mammogram  mastectomi  breast lump  breast tender  fibrocyst breast diseas  lumpectomi  breast abscess  breast biopsi  male breast cancer  metastat breast cancer  breast diseas  breast conserv surgeri  breast discharg 1265,breast carcinoma  breast cancer  cancer  uterin cancer  postmenopaus  femal health  tamoxifen
1266, depend knee surgeri alway indic menisc tear  pain limit rang motion mani type tear  larg one  small one  stabl unstabl one  get fragment displac flip  usual need surgeri  prior surgeri orthopaedist tri determin sign symptom relat menisc tear 1266,torn meniscus knee  surgeri 1266,musculoskelet pain  musculoskelet problem  sport medicin  knee pain  patella  imag  mri scan  mri spine  mri brain  arthroscopi  exercis  bone pain  bone scan  pet scan  hip arthroscopi  chondromalacia patella  asthma 1266,knee pain  asymptomat  arthriti  torn meniscus  surgeri  physic therapi  mri knee contrast  mri scan  knee arthroscopi  arthroscopi
1267,take claritin sinc u fever   think allergi 1267,follow symptom past 5 day sneez  headach  stuffi nose  itchi eye  sore throat  im think allergi  ive use reactiv doesnt seem job   suggest 1267,nan 1267,stuf nose  headach  sore throat  throat pain  sinus  itchi eye  hypersensit  nasal allergi  child allergi  sudaf
1268,confus question anal fissur common problem handl pcps  certain pediatrician  dont think ever seen kid true case hemorrhoid 3 decad pediatr practic occur would find send treatment 1268,pediatrician treat hemorrhoid anal fissur 1268,child health  chickenpox  ear infect  sleep hygien  learn disord 1268,constip  anal fissur  hemorrhoid  anal swell  children health
1269,ver unlik sinus doesnt caus vertigo  sometim  though  virus trigger sinus lead symptom includ vertigo  symptom coincid one caus 1269,maxillari sinus caus vertigo       vertigo ever caus sinus maxillari sinus 1269,sleep apnea  vertigo  ear nose throat 1269,dizzi  sinus  inflamm  inner ear  vertigo
1270,rare young peopl unless familail polyposi 1270,like get colon cancer 22 male dont smoke drink famili histori lack appetit main sign colon cancer 1270,nan 1270,appetit  cancer  colon cancer  colon  imag
1271,heart murmur pediatrr cardiologist 1271,kind doctor take infant daughter heart murmur 1271,puberti  inflamm thyroid  antithyroid medic  prolactin  children health  pediatr  cancer  yeast infect  testosteron  growth hormon  nasal  polycyst ovarian syndrom  late puberti  poor growth 1271,heart murmur  children health
1272,unlik carpal tunnel numb thumb  index  long usual half ring finger  joint pain like arthriti 1272,hand  wrist numb  joint pain symptom carpal tunnel syndrom 1272,carpal tunnel syndrom  carpal tunnel releas  numb  arthriti  surgeri  hand bone fractur  broken bone  hand tendon injuri  congenit abnorm 1272,joint pain  hand numb  numb  carpal tunnel syndrom
1273,agre  low one ten women fibroadenoma  benign growth milkmak tissu breast  never cancer  woman make one  make  shrink late life  tend grow stay stabl menopaus  reexamin rescan ultrasound two year  daughter see breast surgeon check  good luck 1273,daughter 15 13 doctor scan lump breast  two year still  chanc develop cancer  sinc knowledg still non cancer could go away 1273,cancer  laparoscop surgeri  surgeri  hernia  femal health  breast cancer  hemorrhoid  lump groin  breast carcinoma  lose weight  inguin hernia repair  abdomin pain  colon cancer  weight loss surgeri  lymphedema  abdomin discomfort  gastric bypass surgeri  bypass surgeri  gastroparesi 1273,breast cancer  cancer  hormon  contracept  children health  caffein
1274,could neuropathi often time  neuropathi improp nerv function signal caus symptom  various caus neuropathi  nondiabet  common caus seen spinal stenosi disc problem back  caus could diabet  b12 defici  alcohol  back condit pain  check  see podiatrist neurologist 1274,long time  almost consten pain leg feet sometim hand  arm cant stand leg toe touch 1274,foot care  diabet foot  pediatr 1274,diabet  vitamin defici  human immunodefici virus  nerv damag  inflamm  peripher neuropathi  neuropathi  burn  nerv
1275,chilblain probabl chiblain  see dermatologist correct diagnosi 1275,itch burn red swell toe winter month  also tini blister peel  disappear season 1275,nan 1275,red skin  scale skin  anti fungal drug  itch  fungus
1276,like shin splint kind exercis caus lot stress bone  weight good rang  would ask famili doctor consid xray look stress line increas calcium  mild want altern swim walk decreas stress 1276,walk 2 mile everi night left ankl mid shin realli ach  make stop 1276,sleep  exercis  contracept 1276,shin splint  multi infarct dementia  compart syndrom  gait
1277,feel physician feel someth abnorm ultrasound perform  furthermor  doctor need absolut certain mammogram includ area abnorm seen ct scan  also possibl lump present mani mammogram exam consid benign  ask mammoct report discuss docradiologist 1277,ct scan show breast lump mammogram anoth test perform 1277,mammogram  ct scan  mri scan  xray chest  mri breast  breast carcinoma  breast lump  breast biopsi  nuclear scan 1277,breast lump  ct chest  ct scan  comput tomographi  mri breast contrast  mri breast  digit mammogram  mammogram
1278,occassion strike lighten twice patient  due scientif link  breast cancer ling smoke tobacco  link strong lung cancer  could stop 90% lung cancer cigarett disappear  dont fortun breast cancer  notic cigarett still leader mani genius exercis freedom 1278,link breast cancer lung cancer 1278,lung cancer  radiat therapi  small cell lung cancer 1278,breast cancer  breast carcinoma  cancer  lung cancer  femal health  progesteron  estrogen
1279,depend tumor hormon posit her2 posit chemo hormon blockerstyp  radiat  lumpectomi follow anti hormon med  hand  tripl negat breast cancer stage like need chemotherapi iv  bit controversi tumor less 5mm  anyth lumpectomi  node bx  adjuv chemonow  doc tri chemo presurg 1279,stage 1 breast cancer patient lymph node involv general receiv chemo 1279,breast cancer  sarcoidosi  lose weight  stress  breast implant 1279,breast cancer  breast carcinoma  swollen gland  cancer  chemotherapi  travel  femal health  hormon
1280,mayb new research indic one form hormon receptor negat breast cancer aka tripl negat found stress independ risk factor type breast cancer  breast cancer 15% breast cancer  littl known treat rather benign look mammogram ultrasound dcis invasiveor realli breast cancerbut becom ca 1280,dcis breast cancer caus stress 1280,breast cancer  sarcoidosi  lose weight  stress  breast implant 1280,stress  breast cancer  breast carcinoma  cancer  intraduct carcinoma  femal health
1281,10 minut typic oral surgeon quick easili everi day  often instead graft place implant socket process reduc cost  schedul surgeri 10 minut plus time local anesthesia patient awak  includ implant  lot  close 1000 per year may littl faster 1281,long take periodontist complet molar tooth extract bone graft stitch 1281,dental implant  teeth  bone graft  oral surgeri  wisdom tooth extract  dentoalveolar tumor remov 1281,anesthesia  tooth extract  periodont  molar tooth  graft  bone graft
1282,possibl fractur area think describ base fifth metatars  common bone break  need check 1282,cross countri last 5 day bone  ankl bone hurt swollen bruis  could  also hurt walk run 1282,sport medicin  diabet foot  heel injuri disord  bunion repair  topic medic laser treatment 1282,mri scan  bone scan  imag  run  gait
1283,check doctor possibl proper evalu oncologist go may pet scan direct biopsi 1283,result chest xray show suspici nodular densiti over left first anterior rib  anoth nodular opac seen over left 9th posterior rib mean breast cancer alreadi metastisi lung und 1283,lung cancer  breast cancer  hematolog  ovarian cancer  colon cancer 1283,breast cancer  breast carcinoma  cancer  metastasi  clear fluid leak vagina  roentgen ray  femal health  xray chest
1284,sever thing maintain normal bodi weight  use anti inflammatori  bad  unload brace use  young possibl meniscus transplant  that surgeri  best see sport medicin specialist accur assess problem 1284,els besid surgeri help pain due lack meniscus  remov left knee 5 year ago 1284,knee pain  arthriti  acl reconstruct  sport medicin  arthroscopi  knee arthroscopi  shoulder arthroscopi 1284,transplant  transplant  knee surgeri  cartilag  surgeri  analgesia
1285,swell agre doc   said surgeri 2012  16 month ago  swell may go away may someth call brawni edema fibrous natur  see surgeon good luck 1285,knee  surgeri august 13 2012 foot  swell knee surgeri swell go away  ice machin 1285,surgeri  orthot  co2 laser  co2 laser  fungal nail infect  foot surgeri  orthot 1285,surgeri  knee surgeri
1286,see podiatrist home care help need see doctor 1286,right foot hurt left side walk barefoot sit whole foot itch  icyhot noth go week 1286,wart  toenail  ingrown toenail  athlet foot  plantar fasciiti  plantar wart  toenail fungus 1286,foot pain  allerg reaction  fungus  gait  itch
1287,follow dr direct alreadi care doctor work  flutter chest pressur  complet cardiac work  good luck 1287,back januari ekg low blood pressur said next step stress test  uninsur pass heart flutter went away chest pressur along jaw teeth pain  fatigu nausea  ap 1287,chest pain  copd  chest tight  chest pressur  hear loss  angina  diabet  heart attack  rapid heart beat  diabet type 2  transient ischem attack  mening  viral mening 1287,chest pain  tooth pain  nausea  fatigu  stress  heart attack  hypotens  low blood pressur  lethargi  chest pressur
1288,normal area wrist get slight hard swollen surgeri howev symptom tend improv daili 1 week minim  perhap follow visit surgeon help identifi issu need therapi 1288,endoscop carpal tunnel surgeri week ago   base hand still feel hard littl numb  normal 1288,carpal tunnel syndrom  carpal tunnel releas  hand surgeri  endoscop carpal tunnel surgeri  endoscop carpal tunnel releas  nerv injuri  hand numb  minim invas surgeri  dupuytren contractur  anti age medicin 1288,stiff  numb  nerv damag  endoscop carpal tunnel releas  carpal tunnel releas  surgeri  endoscop carpal tunnel surgeri  carpal tunnel surgeri  nerv  carpal tunnel syndrom
1289,see doctor burn pain sever thing  see podiatrist treatment 1289,burn top foot near big toe stretch nerv year ago broken ankl  also bone spur ball foot  burn pain 1289,wart  toenail  ingrown toenail  athlet foot  plantar fasciiti  plantar wart  toenail fungus 1289,arthriti  gout  broken ankl  bone spur  osteophyt  nerv  nerv pain  burn pain
1290,likely:athlet foot describ classic tinea pedi  foot fungus athlet foot  mani overth counter med available: lamisil generic  tinactin generic  etc  use cream often rash itch go away  get seen improv >2 week  hope better 1290,skin inbetween toe itch  skin grow die peel  underneath dead skin new skin white itch 1290,cancer  headach  health educ  skin chang  prevent medicin 1290,peel skin  bacteria  fungus  gait  anti fungal drug  treat jock itch
1291,see ent maxillari sinus becom infect  mucus thicken bacteria caus pain cheek  eye  upper teeth jaw  see ent evalu  imag treatment option 1291,cant shake infect five year upper jaw  sinus area  despit prolong antibiot use  would recommend 1291,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 1291,teeth  shake  implant  dental implant  antibiot  differenti diagnosi
1292,yes much respect dr  dunn knoweldg  disagre withhim  superfici clot extend deep vein system deep vein clot  matter fact report occur much 24% time  import thing ahv ultrasound superfici clot phlebiti  deep thrombosi  treatment dr  dunn said 1292,superfici clot leg  turn dvt 1292,vein  varicos vein  deep venous thrombosi  venous insuffici  spider vein  varicos vein leg  blood clot leg  sclerotherapi  lymphedema  spider angioma  coumadin  venous stasi  phlebiti  laser ablat  telangiectasia 1292,phlebiti  blood clot leg  deep venous thrombosi
1293,evalu depend great physic mental disabl evalu physician  also  depend yore disabl  yoll probabl need evalu one doctor receiv benefit 1293,get diisabl arthriti 1293,surgeri  ankl sprain  exercis  arthriti  total ankl replac  swollen ball foot 1293,pain joint  arthriti
1294,depend depend whether immedi releas extend releas type pain  50  75 0r 100mg everi 46 hour  doctor prescrib correct amount 1294,proper dosag nucynta follow lower molar extract bone graft stitch 1294,dental implant  bone graft  tmj syndrom  endodont  porcelain veneer  tooth extractor  wisdom tooth extract 1294,narcot  oxycodon acetaminophen  percocet  oxycodon  tooth extract  nucynta  graft  bone graft
1295,6  12 week knee may feel somewhat better six week much better twelv week 1295,long knee feel better total knee replac surgeri 1295,knee replac  total knee replac  arthroscopi  total hip replac  surgeri  knee arthroscopi  shoulder arthroplasti  partial knee replac 1295,surgeri  total knee replac  knee replac  laparoscop surgeri
1296,heart heart cath leg circul test examin blood flow vessel  echocardiogram well 1296, feel fatigu  occasion dizzi swell calvesankl   occasion leg cramp  heart cath good  leg circul test good could wrong 1296,exercis  weight train  backach  arthriti  sport medicin  sport injuri  medic clearanc sport  chiropractor 1296,dizzi  leg cramp  fatigu  lethargi  vertigo  circul  cardiac catheter
1297,may may breast anorm mammogram remain seen futur mammogram  remain stabl less concern  abnorm find may subsid  everi mammogram compar previous one assess new chang stabil  pleas also rememb 10% breast cancer may detect mammogram  clinic exam also need sinc breast abnorm detect physician mammogram 1297,larg lump left breast schedul mam friday  tonight sharp sting pain radiat across breast nippl 1297,breast cancer  ultrasound breast  paget diseas breast  ultrasound guid needl biopsi breast  remov breast implant 1297,cancer  femal health  mammogram
1298,referr ask dentist refer tooth pain root canal endodontist work  two abl nail problem treat 1298,wisdom tooth extract 2 month ago  immedi pain next tooth  intens 2 other  amoxil pain even wors seen dentist 3 time 1298,orthodont  tooth pain  child health  dentistri  tmj syndrom  children health  surgeri  dental pain  oral surgeri  cari  abscess  dental care  oral maxillofaci surgeri  root canal  dental cari  dental health  tooth abscess  teeth  gum diseas  gingiv 1298,teeth  tooth pain  dentistri  amoxicillin  amoxil
1299,wrong leg swollen lot thing caus leg swell  seem sever histori might effect left leg  cannot specul caus swell right  probabl need see vascular specialist accur diagnosi 1299,younger need drainag lymph node left groin area  around 2 year old  son age 28 blood clot left leg   year back surgeri spinal fusion right leg constant swollen 1299,dialysi  aortic aneurysm  peripher arteri diseas  leg claudic  varicos vein 1299,blood clot  deep venous thrombosi  fusion  orthoped spine surgeri  surgeri  vascular ultrasound  back surgeri  spinal fusion  children health
1300,yes  possibl viral lesion  potenti transmiss babi get activ virus insid mouth  cold sore nonvir origin  less clear transmiss 1300,husband got cold sore touch 2 month old son hand floss  babi often put hand mouth  get 1300,tmj syndrom  dental care  dental pain  dental health  tooth disord 1300,cold sore  children health  floss  low temperatur  herp simplex
1301,common sens wait three day minimum fever break  rest  hydrat  pace self 1301,profession athlet case tonsil black tonsil littl fever  would like know long exercis 1301,backach  exercis program  hiv aid  health practition 1301,fever  strep throat  athlet  tonsil  antibiot  exercis  amoxicillin
1302,yes work show  good luck 1302,lot difficulti swallow pain throat  ive ct scan neck  barrium swallow  ultrasound   cancer  would shown 1302,breast cancer  lung cancer  oncolog  hematolog 1302,swallow disord  difficulti swallow  cancer  myasthenia gravi  sonogram  barium  ct scan  comput tomographi  barium swallow xray
1303,see breast doctor import panic  take action get answer  sound like need biopsi sampl mass order find  contact doctor referr breast specialist  biopsi come back noncancer 1303,form lump breast mass one cyst done ultrasound mammogram still scare 1303,breast cancer  breast carcinoma  mammogram  mastectomi  breast lump  breast tender  fibrocyst breast diseas  lumpectomi  breast abscess  breast biopsi  male breast cancer  metastat breast cancer  breast diseas  breast conserv surgeri  breast discharg 1303,cancer  ovarian cancer  mri scan  breast exam  sonogram  mammogram
1304,possibl herp symptom describ may consist genit herp  requir evalu clinician herp simplex virus cultur 1304,think yeast infect   small blister insid  vagina  itch hurt  also  around anus 1304,femal health  contracept  healthi pregnanc  mens  normal childbirth  oral contracept  bleed  ovul  pregnanc test  sleep  syphili  spot  vagin  polycyst ovarian syndrom  get pregnant  fertil  nausea  obstetr panel  intrauterin devic insert 1304,yeast infect  genit herp  candida  yeast  femal health
1305,caus symptom common mani condit  particular strong evid ms  tension head  could tension headach tingl hand feet  sensat touch temperatur normal locat long symptom occur 1305,normal ct  neuro physic exam  think dont ms  tinglesbuzz  hand feet  stiff extremeti  ear pop  lil lighthead  tension hea 1305,seizur  multipl sclerosi  neuropathi  nerv damag  live al 1305,lightheaded  dizzi  tingl  multipl sclerosi  comput tomographi  imag  mri scan
1306,hope     effect treatment copd lessen symptom time  import thing need decreas airway inflamm well symptom slow diseas progress quit smoke avoid secondhand smoke much possibl  doctor help smoke cessat 1306,copd  alway feel congest cough 1306,cough  asthma  copd  bronchiti  emphysema  chronic bronchiti  difficulti breath  bronchospasm  product cough  dri cough  fluid lung  respiratori failur 1306,cough  copd
1307,sever  yes  infrequ  complex ankl lower leg fractur result chronic wound  malunion  fix fusion nonheal  particular troublesom open skin broken fractur bone infect  knee amput end cycl infect  pain import lack abil walk  prosthet leg return function signific improv qaliti life 1307,necessari get leg amput midcalf bad ankl fractur wouldnt heal 1307,nan 1307,broken bone  multi infarct dementia  ankl fractur  leg amput  incis  amput
1308,spine surgeon ok congratul smooth recoveri fusion  soon spine surgeon give ok  breast lift 1308,cervial discectomi fusion c5 c6 recoveri minim long schedul breast lift 1308,breast augment  cosmet surgeri  liposuct  tummi tuck  breast implant  facelift  breast lift  botox  eye lift  chemic peel  laser resurfac  juvederm  laser skin resurfac 1308,ent head neck surgeri  plastic surgeri  cosmet  cosmet surgeri  anesthesia  femal health  fusion  diskectomi  discectomi  c5
1309,evid help 1309,true rub vitamin e oil  onto acn blemish scar make go away prevent futur breakout 1309,diabet  women health  hyperlipidemia  hypertens 1309,acn  pimpl  dermat  rash  scar  vitamin defici  facial pimpl  tocopherol  vitamin e  contact dermat
1310,ms like    medic histori import  general healthi high blood pressur diabet  multipl sclerosi could fair like caus two episod diplopia last 1014 day  diabet hypertens  ischem neuropathi may caus  see neurologist ophthalmologist get evalu 1310,diplopia last 1014 day  34 yrs  attack stroke ms  like mg slight dv daili  muscl weak earlier problem 1310,nan 1310,stroke  multipl sclerosi  doubl vision  cerebr vascular accid
1311,cancer concern alreadi know smoke bad  good  stop smoke  stop worri cancer  spine pain may cancer  tho unlikelythat shown imag  like musculoskelet issu chronic sprain repetit stress injuri  intern problem lung  intestin tract  kidney etc must also consid  get anoth opinion 1311,29 year old femal smoker 7 year  mid back pain near spine month  chest xray 2 mris  clear  still scare itslung cancer 1311,cerebr apoplexi  spina bifida  neuroma 1311,feel anxious  back pain  multi infarct dementia  cancer  lung cancer  smoke  pain back  comput tomographi  anxieti  mri
1312,need see md need offici report mammogram   see breast surgeon sure beast lesion 1312,breast lump check use ultrasound told result said unremark get baselin mammogram   back may   didnt hear back    figur everyth fine   summer notic left breast swollen right   end 1312,cancer  hernia  hemorrhoid  wart 1312,breast lump  mammogram  sonogram  digit mammogram
1313,sever general  bone graft pain fill defect bone less pain remov boni impact wisdom tooth  remov fulli erupt wisdom tooth  lot bone graft peopl tend quit well  doctor control discomfort medic  unfortun none us take pain complet surgic procedur 1313,what differ wisdom teeth extract vs bone graft pain 1313,periodont  oral surgeri  bone graft  dental implant  dental 1313,teeth  tooth extract  wisdom teeth  graft  bone graft
1314,relat characterist indic patholog disord 1314,thin wrist  long thin hand male symptom carpal tunnel syndrom someth els 1314,carpal tunnel syndrom  dupuytren contractur  rotat cuff injuri  hand surgeri 1314,numb  carpal tunnel syndrom  long finger  nerv  endoscop carpal tunnel surgeri  endoscop carpal tunnel releas  carpal tunnel surgeri
1315,may put mind rest see neurologist diagnos conditionthat set symptom share number condit 1315,optic neuriti numb  balanc problem   memori loss chronic pain think ms 1315,vertigo 1315,balanc problem  chronic pain  amnesia  persist pain  poor balanc  numb  clumsi  multipl sclerosi  memori loss  neuriti
1316,hfmd hand  foot  mouth diseas hfmd  caus virus belong enterovirus group  includ poliovirus  coxsackievirus  echovirus   enterovirus  sign fever  blisterlik sore mouth herpangina   skin rash  pain swallow  drink liquid stay hydrat  take otc tylenol fever  ibuprofen pain swell  see md sure 1316,fever blood pressur spike red splotch sporad face ear neck chest arm  mayb herpangina mouth possibl caus 1316,dental cari  dental pain  dental care  dental anxieti  dental plaqu  dental fill  dental health 1316,red skin  fever  herpangina  pain mouth sore  nutrit  blood pressur
1317,evalu  swell may last long time follow foot ankl injuri  xray show under fractur  xray may fals negat initi case small stress fractur  may soft tissu injuri sprain may damag muscl  tendon  ligament area  evalu profession get appropri treatment 1317,twist ankl 4 week ago  still swollen  throb lot hurt pad walk  xray done told sprain  long take heal 1317,podiatri  foot care  sprain  neuropathi  foot ankl injuri  diabet foot  diabet neuropathi  surgeri  educ  broken foot  foot ulcer  hammer toe  wound  orthoped brace  foot surgeri  hammerto correct  osteomyel  bunion repair 1317,sprain strain  mens  wateri eye  ankl sprain  lacrim  sprain  cast  gait  brace
1318,see depend caus  symptom like adequ diagnos thorough evalu doctor 1318,swollen lymph node front ear jaw  also big lump cranium bottom left side 1318,famili relationship  hospic care  emerg medic care  high risk pregnanc  educ 1318,swollen gland  enlarg lymph node  inflamm  immun diseas  cancer  bacteria  lymphat  lymphat system  arteri  nutrit
1319,see note absolut  risk factor includ abstin walk exercis  smoke  birth control  obes  prior famili histori  ask doctor order venous ultrasound rule dvt 1319,sprain ankl coupl week ago  swell calf pain  worri dvt 1319,total ankl replac 1319,ankl sprain  blood clot leg  deep venous thrombosi  sprain  sonogram
1320,yes suggest breast ultrasound  physic breast examin  reveal  bilater diagnost mammogram  af  remain clinic suspicion  mri might use  never let negat imag test dissuad biopsi palpabl clinic suspici breast mass 1320,lump left breast feel size plum pit  symptom breast cancer  could still 1320,mri breast  digit mammogram  breast biopsi  nuclear scan  hiv aid 1320,asymptomat  breast cancer  breast carcinoma  cancer  femal health  mammogram
1321,possibl go see oncologist surgeon 1321,finish treatment breast cancer bilater mastectomi februari  found lump rib cage side cancer  could cancer 1321,breast cancer  lung cancer  oncolog  hematolog 1321,breast cancer  breast carcinoma  cancer  mastectomi  femal health
1322,perhap possibl  doctor consid biopsi suspici lesion seen ct scan 1322,ct  scan wrong metastst breast cancer lung pt chemotherapi breast cancer stage 2 grade 3 diagnosi 1322,cancer  breast cancer  femal health  breast carcinoma  melanoma  skin cancer  nevi  surgeri  oncolog  male breast cancer  lymph node biopsi  breast conserv surgeri 1322,breast cancer  breast carcinoma  cancer  chemotherapi  comput tomographi  ct scan  femal health
