0,cool mist humidifi use nasacortov counter 1 spray nostril day 34 day 0,use salt water nasal spray help prevent develop perfor septum 0,children health 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
825,dont neglect young  lump especi newli discov one breast around breast check  see physician check clinic need mammographi famili histori yes  even urgenc 825,young women go mammogram done detect breast cancer 825,surgeri  varicos vein  vein  spider vein  sonogram  varicos vein leg  sclerotherapi  ultrasound extrem vein  superfici thrombophleb  leg surgeri 825,breast cancer  breast carcinoma  cancer  mammogram  femal health  digit mammogram
826,like fractur fractur high like pain  keep eye red bump make sure go away day enlarg 826,long put tripl antibiot pop pus pimplei also oral antibiot  red bump lower back itch 3 day 826,pituitari disord  endocrin disord  psychopharmacolog treatment  psychotherapi 826,red skin  pimpl  pus  antibiot
827,cellul leg red warm swollen  could sign bacteri infect call cellul  rare  serious flesh eat bacteria  antibiot warrant cellul  need consid deep vein thrombosi especi leg edema calf tender 827,ankl hurt 7 month  isnt red swollen  could heel fractur 827,nan 827,red skin  stress  broken bone  heel fractur  plantar fasciiti
828,week go take 2 4 week gum heal depend extent surgeri  post oper complic quick heal  dentist abl tell gum jaw good enough get dental work 828,pros con general dentist vs oral surgeon wisdom teeth extract 828,tmj syndrom  tooth pain  gingiv  gum diseas  periodont  temporomandibular disord  dental implant  gum bleed  dental care  oral surgeri  teeth  teeth brush  joint  bone loss  cosmet dentistri  dental health  partial dentur  dental bridg  dental laser 828,general anesthesia  anesthesia  wisdom teeth  tooth extract  oral maxillofaci surgeri  dentistri
829,monitor center lymphat system absorb carri thing big go arteri vein like bacteria eaten white cell digest food  lymph node tast lymph anyth bad like bacteria virus cancer  etc  detect problem  alert immun system bodi react  enlarg respons inflamm creat react  shrink well 829,thyroid swollen  neck feel tight  troubl swollow like there lump throat  also  iexperi pain ear 829,cellul  sunburn  lymphedema  burn  blister  wound heal  scar  scar  abnorm wound heal  neuropathi  nerv damag  peripher arteri diseas  numb  raynaud diseas  diabet ulcer 829,inflamm thyroid  antithyroid medic
830,see done appropri mri scanner menisc tear usual diagnos mri  pain mani caus  menisc tear  come joint effus  synov  cartilag damag  baker cyst  etc 830,play footbal  torn acl use brace care 830,cancer  femal health  sonogram  ct scan  surgeri  mammogram  breast carcinoma  breast cancer  kidney stone  child health  dementia  brain tumor  colon cancer  atelectasi  stroke  sleep  hysterosalpingogram  transvagin ultrasound  thoracentesi  deep venous thrombosi 830,disloc  cartilag  acl tear  brace
831,torn ligament would unusu femur slide tibia unless tore ligament around knee like knee disloc  tore acl knee unstabl sublux bone  sometim acl avuls tibia bone  exercis knee strengthen good acl tear consider surgeri discuss doctor 831,soon total knee replac could someon use continu passiv motion cpm exercis machin 831,acl reconstruct  knee arthroscopi  shoulder arthroscopi  shoulder arthroplasti  cartilag disord 831,total knee replac  cyclophosphamid  knee replac  exercis
832,info need get head ct mri hospit symptom new get wors compar hospit  yes go back  following: headach constant  associ nausea  vomit  get wors bend  strain  cough sneez  go er immedi  sure  err safe side go back checkup 832,need neurolog exam closedhead injuri child w loss conscious temp paralysi medic care   suffer frequent headach migrain bipolar disord  current take lithium  lamict  serequel  zoloft  levo 832,multipl sclerosi  encephalopathi  alzheim diseas  stroke  headach disord  epilepsi 832,headach  frequent headach  head injuri  migrain headach  head trauma  bipolar disord  unconsci  palsi  syncop  migrain
833,nocturn nocturn  nighttim numb tingl pain hand associ carpal tunnel syndrom  diabet give peripher neuropathi typic tingl associ diabet neuropathi affect hand equal well feet  howev diabet system problem affect nerv circul  presenc under disord worsen symptom carpal tunnel get wors  also mean diabet sometim prevent pain form occur earli occur may feel wors sudden  nonetheless reason carpal tunnel seem wors night sleep sever fold  1  pressur nerv increas increas tissu pressur form lie  fluid sit outsid cell redistribut face upper extrem someon lie  feet swollen end day face feel puffi finger stiff  extra fluid increas pressur nerv  second thing often occur one sleep unsplnt wrist flex extend  also put pressur nerv  pressur build  finger go numb  pain follow final pain build enough awaken suffer  start  simpl wrist splint may suffic help night time symptom  tight caus pressur nerv defeat purpos  next antiinflammatori  otc non steroid antiinflammatori someon diabet take medic alway check pcp famili doctor internist endocrinologist take nsaid deleteri effect upon renal  kidney function  pcp may prescrib antiinflammatori well  inject corticosteroid often use acut hand surgeon non oper care  nerv conduct studi emg help defin delin role carpal tunnel v  neuropathi start pcp consid see hand surgeon work initi 833,ankl  feet  leg hand swell realli big throb pain  could caus newli diagnos type 2 diabet   also slip disc l45  high blood pressur high colesterol  tak 833,carpal tunnel syndrom  broken bone  hand surgeri  wrist pain  dupuytren contractur  wrist fractur  sport medicin  finger fractur  xiaflex  carpal tunnel releas  osteoarthr  scaphoid fractur  collagenas inject  trigger thumb  hand nerv  endoscop carpal tunnel releas  wrist arthroscopi  hand joint 833,high blood pressur  diabet  arthriti  broken bone  blood clot  gout  bulg disk  slip disc  abnorm blood pressur  hypertens
834,2 day current photometr monitor blood cultur  real posit cultur identifi 24 hour incub  virtual 48 hour  blood cultur posit 48 hour incub must view possibl contamin drawn venipunctur central line 834,breast augment high blood pressur 834,cancer  sickl cell diseas  child health  pediatr oncolog  anemia  low blood count  thalassemia  beta thalassemia  hematolog  childhood leukemia 834,high blood pressur  abnorm blood pressur  cosmet breast surgeri  femal health  hypertens  breast augment  blood pressur  hypertens
835,yes fraxel re:pair effect  creat improv  correct  acn scar 835,visibl peopl around ive mesotherapi treatment work news anchor  appear import  im hope get rid acn scar wrinkl cheek  mesotherapi leav bruis 835,cosmet surgeri  breast implant  plastic surgeri  tummi tuck  breast augment  botox  liposuct  plastic cosmet surgeri  facelift 835,acn  pimpl  vitamin defici  acn scar  ecchymos  scar  dermatolog  homeopathi  mesotherapi  facial pimpl
836,yes probabl viral syndrom  steroid may make feel better 836,swollen lymph node neck 6 week  sometim easili felt time pronounc  alway larger right side   recent went doctor due pain sp 836,nan 836,swollen gland
837,pediatrician good even  eczema common condit mani pediatrician famili manag  ask pediatrician need see specialist know whether condit child relat allergi  case often  visit allergist familiar eczema address caus exacerb  know make wors help 837,four year old alway sensit skin  time  break flat pink red dri look rash cluster most face  behind knee  leg fold arm front side elbow  could pediatr eczema 837,nan 837,skin rash  eczema  red skin  dermat  rash  children health  pediatr
838,sleep apnea said sleep apnea  treat cpap wear everi night calibr check anoth overnight sleep studi arent wear   event  pleas discuss current situat doctor immedi 838,night right hand wake numb tingl lot pain last hour help pleas  47 metformin type 2 diabet  hctz high blood pressur  welbuterin tri help quit cigarett   also 838,sleep apnea  tmj syndrom  cosmet dentistri 838,diabet type 2  high blood pressur  diabet  abnorm blood pressur  nerv damag  neuropathi  neuropraxia  numb  tingl  diabet neuropathi
839,yes  tmj syndrom common symptom include: ear pain  muffl nois full  also jaw pop click  see dentist evalu proper treatment 839,expect wisdom tooth extract tooth   boni impact oral surgeon say mean tooth surround bone    need cut jaw bone  sound realli pain  long recoveri wil 839,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 839,feed  tooth extract  wisdom tooth extract  oral maxillofaci surgeri  incis
840,sure sure ask adderal would help heart burn  probabl would  number medic contain similar compon adderal formul depress  current regimen help  speak doctor  make modif 840,differ side effect celexa lexapro 840,nan 840,serotonin  lexapro  citalopram  celexa
841,baselin age 3540 debat util mammogram age 4050 howev  current recommend baselin mammogram  year mammogram start age 40  1 st degre relat breast cancer young age  mammogram start 10 year prior age diagnosi  discuss time doctor decid what best 841,mammogram detect kind breast cancer 841,breast cancer  trauma center 841,breast cancer  cancer  mammogram  femal health
842,lung  copd  strict guidelin concern surgeri pul func test  radiotherapi  usual breath actual improv  lot depend locat  would radiotherapi lung cancer copd without question 842,radiat therapi cure lung cancer 842,lung cancer  radiat therapi  small cell lung cancer 842,cancer  lung cancer  radiat therapi  irradi  radioact  gamma ray  cancer radiat  radiosurgeri  chemotherapi
843,typic 23 take 23 appoint finish molar endo  rct  might take longer infect persist endo surgeri need  10 still high number  sure finish rct post  core crown etc 843,get radiat pain dull ach nerv pain teeth eat hot cold  spici food even outsid two crown  one alway bother alway sore slight inflam  dentist said need get gum cu 843,cosmet dentistri 843,inflamm  neuralgia  nerv  nerv pain  nutrit  low temperatur  root canal  feed  dentistri  crown
844,lung  copd  strict guidelin concern surgeri pul func test  radiotherapi  usual breath actual improv  lot depend locat  would radiotherapi lung cancer copd without question 844,radiat therapi lung cancer improv surviv rate 844,lung cancer  radiat therapi  small cell lung cancer 844,cancer  lung cancer  radiat therapi  irradi  gamma ray  radioact  laparoscop surgeri  chemotherapi
845,role vari oper  role xrt stage stage ii  medistin lymph node involv  chemotherapi order  may benefit radiotherapi chest  cannot dont surgeri  astound result hi tech  hi fraction raiotherapi  stage ii  + hilar node  id care claim 845,radiat therapi lung cancer make father copd wors 845,lung cancer  radiat therapi  small cell lung cancer 845,cancer  lung cancer  radiat therapi  irradi  gamma ray  copd  radioact
846,monitor center lymphat system absorb carri thing big go arteri vein like bacteria eaten white cell digest food  lymph node tast lymph anyth bad like bacteria virus cancer  etc  detect problem  alert immun system bodi react  enlarg respons inflamm creat react  shrink well 846,need go doctor get antibiot lymph node swollen two week   fever red   pain start left ear two week ago   right side swollen   week ago   left side start swell   drainag 846,cellul  sunburn  lymphedema  burn  blister  wound heal  scar  scar  abnorm wound heal  neuropathi  nerv damag  peripher arteri diseas  numb  raynaud diseas  diabet ulcer 846,fever  antibiot
847,yes reach lymph node chest  biopsi needl travers lung tissu mani time punctur lung  time  requir procedur may 847,swollen salivari gland  put antibiot 10 day  infect  gland still swollen  whatshould 847,breast cancer 847,ultrasound guid pericardiocentesi  ultrasound guid paracentesi  ultrasound guid ova aspir  ultrasound guid fine needl aspir  ultrasound guid chorion villus sampl  ultrasound guid amnioinfus  ultrasound guid amniocentesi  ultrasound guid abscess drainag  oral maxillofaci surgeri  ent head neck surgeri
848,acut athlet foot first thing come mind one present acut athlet foot  use dri soak epsom salt dilut vinegar topic antifung    prefer patient use lotrimin ultra lamisil cream  use certaindri pad solut decreas perspir  doesnt work  see podiatrist sure inform tri alreadi 848,daughter bunch small bump belli red itchi blister  like pencil head size  lot look kinda like white bump idea could 848,surgeri  ingrown toenail  toenail  verruca  plantar wart  wart  athlet foot  foot care  toenail fungus  flat feet  orthot  minim invas surgeri  foot health 848,red skin  molluscum contagiosum  virus  children health
849,sinus surgeri balloon sinuplasti  minim invas techniqu  use small balloon inflat widen block passag  general less bleed shorter recoveri time  endoscop sinus surgeri  use small camera visual examin sinus  tini surgic instrument insert remov obstruct tissu  requir incis whole procedur perform nostril 849,dental bond work fill caviti ive read dental bond procedur perform fill caviti  true advantag regular fill 849,obes  diet  exercis  children health  diabet  dyslipidemia  smoke cessat 849,cari  low temperatur  ultrasound guid ova aspir  ultrasound guid fine needl aspir  ultrasound guid chorion villus sampl  ultrasound guid amnioinfus  ultrasound guid amniocentesi  ultrasound guid abscess drainag  nutrit  nerv
850,week go take 2 4 week gum heal depend extent surgeri  post oper complic quick heal  dentist abl tell gum jaw good enough get dental work 850,rhinoplasti jaw surgeri im 23 want get jaw surgeri tmj asymmetr face  want wait im 25+ get   im plan get rhinoplasti coupl week  mani said get jaw surgeri done first 850,tmj syndrom  tooth pain  gingiv  gum diseas  periodont  temporomandibular disord  dental implant  gum bleed  dental care  oral surgeri  teeth  teeth brush  joint  bone loss  cosmet dentistri  dental health  partial dentur  dental bridg  dental laser 850,tmj syndrom  surgeri  orthodont  oral maxillofaci surgeri  rhinoplasti  jaw surgeri  asymmetr face
851,gallston answer depend abdomin ultrasound done first place  gallston caus pain pancreat elev liver enzym  consid elect cholecystectomi  gallston pass without even know  other caus acut cholecyst pancreat  wall gallbladd thicken   consid remov 851,diagnos gall stone  long gall bladder taken attack involv vomit rapid bow movement sevier pain abdomen went emerg room town 851,diabet  backach  hyperlipidemia 851,vomit  gallston  gallbladd remov  emesi  bladder
852,possibl get bite adjust dentist special occlus also night guard may help  click remain untreat may eventu pain  get treat 852,get brace dental implant im 35  would like get brace  howev  two dental implant upper left side jaw due accid year ago  sinc implant cant move  preclud abl 852,root canal  tooth pain  abscess  surgeri  anxieti  canker sore  inflamm gum  blister mouth  antibiot  earach 852,implant  dental implant  brace
853,possibl  need throat cultur determin strep versus someth els  take child doctor examin 853,swollen gland common canker sore could infect huge canker sore cheek small one toung  lip  back near wisdom tooth gland swollen feel better brush 853,nan 853,canker sore  herp  ulcer  swollen gland  aphthous stomat  blister mouth  enlarg lymph node  enlarg gland  dentistri  defens mechan
854,wisdom teeth usual wisdom teeth extract oral surgeri offic iv sedat littl discomfort  oral surgeon consult evalu medic health discuss issu associ specif case  good luck 854,long stay numb wisdom teeth wisdom teeth morn 8:30 3:00 pm still feel lot numb back mouth  ive never felt numb long go dentist  somet 854,dental implant  protrud jaw  open repair jawbon fractur  underdevelop upper jaw bone 854,wateri eye  numb  lacrim  anesthet drug  anesthesia  wisdom teeth  nerv  dentistri
855,well    indiscrimin use antibiot recommend upper respiratori infect usual viral  point cultur order avoid smoke pollen  use humidifi 855,notic swollen lymph back neck hairlin worri ive dri cough sinc last week bodi ach sore throat  cough calm bit bodi ach gone throat still hurt lit 855,diabet  thyroid diseas 855,throat pain  cough  sore throat  dri cough  sebac cyst  isol  swollen gland  cancer  bodi ach  steroid
856,see dentist tooth pain wont go away without treatment infect may spread jaw  cheek  sinus area head neck  use tylenol pain control  see dentist asap assess treatment 856,dental abscess get wors treatment tooth larg caviti  fill  fill got loos chanc fix got dental abscess fill remov tooth could dr 856,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 856,abscess  dental abscess  tooth abscess  antibiot  dentistri  nerv  caviti  root canal
857,unspecif pain need age health status proper answer 857,symptom depress done counteract without medicin main reason feel shut seek keep peopl away dont hurt word  seem hurt anyway  know 857,foot surgeri  diabet foot  diabet neuropathi  wound care  foot ulcer 857,depress  social withdrawn  lack motiv
858,well bra like brain circul fine  worri stroke stroke happen young peopl unless high bp   untreat mani year  case  doctor alreadi check serious problem  find noe  time divert attent posit thing  suggest exercis daili 30 minut 858,75 year old woman high blood pressur brain surgeri mri show 13 mm aneur 75 year old woman  blood pressur cholesterol level high  stroke 40s recov fulli   mri show 13 mm aneur  doctor sa 858,breast cancer  oncolog  malign melanoma 858,high blood pressur  cerebr vascular accid  abnorm blood pressur  stroke  aneurysm  magnet reson imag  mri  neurosurgeri  cholesterol test  surgeri
859,see dentist asap bioten ideal caus abscess determin self help remedi  could gum abscess rot tooth  abscess mean infect treat asap prevent possibl complic 859,fill caus discolor gum silver fill use fill caviti  gum next look like turn bluish someth  dont know what go  see dentist 859,nan 859,dentistri  caviti
860,yes ask dentist use bond core instead temporari fill  dislodg crown place root canal stay seal protect 860,fill fall tooth month back notic gum fill hole normal need know whether bad fill fell gum seem hav fill hold fill 860,root canal  tooth pain  abscess  surgeri  anxieti  canker sore  inflamm gum  blister mouth  antibiot  earach 860,hepat
861,disagre psychiatr diagnos elimin  mani psychiatr condit may phsical condit differenti  also  mani psychiatr condit may also misdiagnos medic condit  mani time may difficult make accur diagnosi condit  unfotun lupus miss first physician 861,teenag use drug usual depress 861,depress  psychopharmacolog treatment  psychos  psychiatr servic 861,depress  hopeless  melancholia  teen
862,second opinion treatment resist depress common problem  major depress  caus general biolog  biolog treatment mainstay care  person may low thyroid  anoth medic ill  bipolar disord  gastrointestin disord prevent absorpt  take antacid   transcutan magnet therapi  vagal nerv stimul  ect safe 862,particular medic work addit psychotherapi teenag depress 862,depress  psychiatri  psychotherapi  anxieti disord  chronic pain  psychopharmacolog treatment 862,depress  psychotherapi  teen
863,depress sign somat symptom depress includ low energi leaden feel arm leg difficulti fall asleep  stay asleep  wake earli morn sleep much frequent nap decreas appetit weight loss increas appetit w weight gain sexual arous difficulti erectil dysfunct delay orgasm inabl reach orgasm bodi ach gi upset paresthesia 863,long teenag need unhappi order worri depress 863,nan 863,depress  adhd  bereav  sleep  mood
864,need exam that broad set symptom could varieti thing  tmj  neck arthriti  infect  thing  get evalu person  fever unexplain weight loss difficulti normal activ  get check right away 864,ear infect mess antibiot think back head hurt eye hurt look puffi sinus pressur wont let 864,pain manag  mind medit  integr medicin  physic medicin rehabilit  physic rehabilit  guid imageri  fibromyalgia  spine manipul  chronic pain 864,middl ear infect  ear infect  eye pain  sinus  headach  sinus pain  sinus rins  nasal salin irrig  antibiot  otiti media
865, may treat nasal congest 865,hear weird thump sound ear  dont think sound heartbeat  usual fast  thought 865,rhinoplasti  facelift  facial plastic surgeri  septoplasti  eyelid lift  nasal fractur  nasal septum repair  nasal polyp remov  eye lift  skin cancer 865,ent head neck surgeri
866,unlik urin pregnanc test posit conceiv iui cycl 14 day iui  make sure use name brand kit follow instruct increas accuraci  sorri : sure urin test call doctor blood pregnanc test done period start 866,36 2 week pregnant boy girl twin  puppp bodi  use control 866,femal health  ovul  infertil  ivf pregnanc  polycyst ovarian syndrom  fertil  tri conceiv  get pregnant  artifici insemin  intrauterin insemin  femal infertil  anti mullerian hormon 866,steroid  healthi pregnanc  femal health  pregnanc
867,variabl temporari perman  make doctor awar follow appoint 867,dri socket 2 day get tooth extract last wednesday dentist clean area pack 2 day agoo long swell face neck go last look like mump still lot pain 867,tmj syndrom  cosmet dentistri  dental implant 867,dri socket  mump  antibiot  dentistri
868,seek medic care spinal cord nerv imping caus kind symptom  inde case  irrevers damag could result  trip emerg room primari doctor necessari 868,pinch feel right calf ankl meet back lower leg  sometim foot cramp well  pain knee thigh 868,hospit 868,knee pain  tendon
869,relat spinal stenosi affect central nerv spine wherea peripher neuropathi affect distal nerv arm leg  later frequent associ diabet  differ determin qualifi neurologist emg ncv studi  symptomat spinal stenosi treat surgeri wherea peripher neuropathi cannot 869,ddd herniat l5 s1 along bulg disc overal lumbar spine show mri urinari retent incontin fec 869,sciatica  bulg disk  brain tumor  spinal surgeri  brain aneurysm  cervic spondylosi 869,degen disc diseas  hernia  incontin  urinari retent  bulg disk  cauda equina  cauda equina syndrom  mri  nerv  mri scan
870,nerv regener dentist  similar experi differ dental surgeri apicoectomi  relat 3  5 year feel began return tingl progress itch final today total normal feel back lip  almost like get dental local anesthesia total numb wear  get tingl feel 870,dentist say nerv damag may done wisdom tooth extract half tongu numb  start tingl good sign 870,teeth  cancer  mouth cancer  ulcer  dental care  blister  tooth pain  abscess  dental pain  cosmet dentistri  dentistri  canker sore  gum diseas 870,paresthesia  nerv damag  neuropathi  numb  neuropraxia  tooth extract  nerv injuri  wisdom tooth extract  nerv  dentistri
871,possibl sound like get sick  go see internist  would need cultur verifi strep throat  gargl warm salt water help sore throat  umcka cold flu help lot natur 871,swollen gland sever pain  dri mouth  difficulti  swallow 871,bone graft  dental implant  cosmet  mouth biopsi  wisdom tooth extract 871,dri mouth  enlarg lymph node  swallow disord  swollen gland  difficulti swallow  enlarg gland
872,infect infect  yes  best result wisdom teeth  make sure evalu treat board certifi oral  maxillofaci surgeon 872,long wait get brace wisdom tooth remov 872,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 872,oral maxillofaci surgeri  dentistri  wisdom teeth  tooth extract  brace
873,depend women particular risk factor previous normal mammogram  recommend annual  concern factor  may recommend often 873,breast small get mammogram 873,cancer  breast cancer  low blood count  chemotherapi  leukemia  ovarian cancer  anemia  lung cancer  kidney cancer  breast carcinoma  mouth cancer  prostat cancer  laparoscop surgeri  enlarg lymph node  lymphoma  bruis  hematolog diseas  cervic cancer  colon cancer  itp 873,mammogram  digit mammogram
874,difficult assess chest pain combin pregnanc tricki treat onlin  would suggest see doctor negat test persist pain warrant test  although rare pregnant patient develop blood clot lung  pleas see doctor go emerg room 874,pain chest most left side  pain dull sharp   rapid heartbeat  pain left  arm  neck shoulder  dr gave buspar anxierti 874,chest pain  chest tight  angina  chest pressur  sore throat  urgent care  famili medicin  sexual health 874,chest pain  heart attack  cardiac arrest  heart problem  side pain  anxieti  buspar  busipiron
875,possibl  need throat cultur determin strep versus someth els  take child doctor examin 875,almost two month throat yellow red vein white roof mouth  spot  could 875,nan 875,red skin  ent head neck surgeri
876,wrong need iv antibiot observ   base line blood work cultur 876,topic antibiot eye  develop 2 stye  eye  stye lower lid swollen pouch 876,hemorrhoid  backach 876,wash  tactil  topic antibiot  hordeolum  antibiot
877,explain feel breathless  perhap anxieti  perhap narrow larg airway  varieti item  id interest know whether keep athlet peer  that real test adequ heart lung   sensat describ probabl nerv  otherwis  continu workup 877,1st ekg abnorm anxieti attack 2nd normal ekg calm normal chest xray show  enlarg heart fine say 877,cancer  acn  human immunodefici virus  nutrit  femal health  child health  breast cancer  male health  vitamin defici  breast carcinoma  pap smear  scar  exercis  anemia  lung cancer  iron defici anemia 877,feel anxious  rapid heart beat  palpit  clear fluid leak vagina  electrocardiogram  roentgen ray  anxieti  xray chest  calm
878,yes fraxel re:pair effect  creat improv  correct  acn scar 878,control hormon chang  testosteron level caus bad sever acn  pimpl  pleas explain detail stop masturb 878,cosmet surgeri  breast implant  plastic surgeri  tummi tuck  breast augment  botox  liposuct  plastic cosmet surgeri  facelift 878,acn  pimpl  vision loss  male health  testosteron  hormon  nutrit  masturb  facial pimpl  androgen
879,that possibl let wait thorough evalu would includ brain mri spinal cord mri complet self diagnos ms  appreci scari unnerv workup take time  wish provid reassur abl come effect treatment plan diagnosi clear 879,like ms  eye dr  said might see mri   demyelin  20 50 vision  numb hand  troubl concentr migrain 879,back pain  arthriti  pain back  pain joint  physic therapi  knee pain  orthoped surgeri  numb  herniat disk  cardiolipin igm  dementia 879,difficulti concentr  multipl sclerosi  migrain  numb  ophthalmolog  mri  vision  magnet reson imag  neurolog  demyelin
880,tongu bump like tast bud  dentist take look tongu wisdom teeth 880,wisdom teeth caus bottom teeth becom crook 880,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 880,wisdom teeth
881,carpal tunnel syn nocturn numb  paresthesia associ burn pain fair typic nerv compress like carpal tunnel without associ nerv compress neck  pcp refer neurologist emg nct confirm exclud dignos  like refer hand surgeon interim  start use hand brace nsaid md may inject steroid oper 881,numb  tingl pain face  feet arm  feet fall asleep sever time day  eeg  emg  brain cs mri negat  nerv test show normal 881,surgeri  cancer  femal health  breast cancer  scar  botox  scar  breast augment  breast lift  breast carcinoma  breast implant  carpal tunnel syndrom  facelift  breast reduct surgeri  cosmet surgeri  mastectomi  tummi tuck  breast reconstruct  liposuct  dermal filler 881,neuropathi  numb  nerv damag  fibromyalgia  tingl  facial pain  electromyographi  neurolog  nerv  mri
882,see ddd pain swell root canal treatment start immedi  antibiot alon may abl pace infect  dentist unwil start treatment seek second opinion  antibiot meant reliev pain 882,hypertens mild heartburn  antibiot  best use heal  tooth root infect root canal  clindamycin amoxicillin 882,dental health  dental care  dental pain  oral surgeri  root end surgeri  dental xray 882,heartburn  high blood pressur  indigest  hypertens  hypertens  root canal  clindamycin  cleocin  antibiot  amoxil
883,mild ortho tri mild orthodont treatment full brace even remov applianc mild case  mean time tri night guard made eas pain tmj sleep 883,brace caus tmj big problem teeth wear brace 6 year move jaw 23 cm 883,root canal  oral surgeri  dental implant  child health  cosmet dentistri  teeth 883,tmj syndrom  brace  orthodont
884,augmentin ok tooth infect augmentincombin amoxicillinclavulan correct antibiot prescrib  recommend see dentist check teeth gum might need local dental treatment along antibiot  go see dentist good 884,tooth infect gone ten day amoxicillin   use clyndamycin get rid 884,asthma  pediatr  immun  prevent medicin  metabol syndrom  endocrinolog 884,periodont  ten  clindamycin  amoxil  amoxicillin
885,check surgeon compress stock import  follow surgeon  consid custom fit stock  next time consid laser vein treatment rather vein strip 885,ive protrud arteri insid left leg knee sever mths yrs varicos vein lower  keep fit  idea 885,nan 885,venous insuffici  varicos vein leg  phlebolog  arteri  sonogram  vascular surgeri  varicos vein
886,neurologist see got echocardiogram  negat result  dont cardiac risk factor  use heart medic like isordil  continu neurologist 886,ive nausea 3 day wont go away   feel pressur neck run back head  also forehead left cheek feel littl numb left eyei blurri 886,obstetr  trauma surgeri  cardiac 886,nausea  rsv  numb  mening
887,refer tabl usual children dose weight relat refer tabl avail pharmacist make calcul  uncomfort calcul dose call prescrib physician  troubl 887,11 month old mani teeth come  three hour ago  gave acetaminophen teeth  give ibuprofen sleep 887,femal health  healthi pregnanc  polycyst ovarian syndrom  mens  contracept  hysterectomi  cancer  ovul  laparoscop surgeri  normal childbirth  child health  pap smear  endometriosi  bleed  vagin hysterectomi  surgeri  spot  breast cancer  robot surgeri  da vinci robot surgeri 887,teeth  pain medicin  sleep  rufen  panadol  tempra  nuprin  motrin  ibuprofen  advil
888,normal        symptom erupt wisdom teeth room  consult oral surgeon regard extract 888,old silver tooth fill stain gum  way remov stain 888,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 888,tattoo  transplant  transplant  graft  amalgam
889,care best method drain dental abscess done care someon experi treat dental abscess 889,wisdom tooth abscess  cant open jaw treat 889,wisdom tooth extract 889,abscess  oral surgeri  oral maxillofaci surgeri
890,relat spinal stenosi affect central nerv spine wherea peripher neuropathi affect distal nerv arm leg  later frequent associ diabet  differ determin qualifi neurologist emg ncv studi  symptomat spinal stenosi treat surgeri wherea peripher neuropathi cannot 890,take neurontin peripher  neuropathi told stop nerv damag progress   true 890,sciatica  bulg disk  brain tumor  spinal surgeri  brain aneurysm  cervic spondylosi 890,neuropathi  nerv damag  peripher neuropathi  neuropraxia  neuralgia  neurontin  nerv pain  nerv  gabapentin
891,yes howev  chanc recurr much reduc radiat  reason radiat standard care breast conserv surgeri  chanc local recurr reduc 2 3 891,diagnos breast cancer 23 doubl mastectomi 25  prevent panick attack 891,radiat therapi  breast cancer  prostat cancer  lung cancer  pancreat cancer 891,breast cancer  breast carcinoma  cancer  panic attack  femal health  mastectomi  psychiatri
892,unlik carpal tunnel numb thumb  index  long usual half ring finger  joint pain like arthriti 892,jaw keep click  symptom tmj temporomandibular joint dysfunct 892,carpal tunnel syndrom  carpal tunnel releas  numb  arthriti  surgeri  hand bone fractur  broken bone  hand tendon injuri  congenit abnorm 892,tmj syndrom  guard
893,nonvitalrt  canal last full mouth seri radiograph dentist see problem tooth radiograph  could possibl refer pain anoth area  area question  maxillari archtop teeth  may sinus involv may involv teeth  dentist percuss test check fractur 893,tooth pain 3 mos  caviti fill  dr  examin  saw noth wrong  pain persist  seem travel sinc cant tell tooth 893,root canal  tooth pain  tmj syndrom  dentistri  cari  dental cari  dental care  dental health  inflamm gum  earach  numb  gum diseas  roentgen ray  ent head neck surgeri  cosmet  crowd teeth  throat pain  sore throat  emerg dentistri  dental bite disturb 893,dental pain  tooth pain  travel  endodont  root canal  caviti
894,reason question read age 68  surmis mother quit elder  sure much gain ad zoloft anoth higherdos ssri  good reason worri serotonin syndrom  even moreso age  agre  permiss  talk doctor 894,deni zoloft   dr  said compat w tramadol  ocd med compat w tramadol put sleep much 894,obstetr  prevent medicin  pediatr 894,obsess compuls disord  serotonin syndrom  zoloft  serotonin  tramadol  sleep  sertralin  ultram
895,sever general  bone graft pain fill defect bone less pain remov boni impact wisdom tooth  remov fulli erupt wisdom tooth  lot bone graft peopl tend quit well  doctor control discomfort medic  unfortun none us take pain complet surgic procedur 895,tooth hurt  got root canal done  still hurt  got extract bone graft  still hurt ialso got wisdom tooth extract day side mouth dri socket  whatshould 895,periodont  oral surgeri  bone graft  dental implant  dental 895,dri socket  facial pain  facial  dentistri  root canal  graft  bone graft
