0,salin suction  safest effect treatment salin nose drop suction  elev head crib use humidifi help   cold cough medicin proven ineffect serious side effect  fda take market gradual  doesnt help  child need see doctor see cold 0,use salt water nasal spray help prevent develop perfor septum 0,asthma  development delay  prematur babi  eczemat rash 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
937,see ct scan show first 937,sinc nov  llq pain palp  near hip bone  intermit trace blood protein urin  intermitt upper abdomen pain   fatti liver  low back pain  ct schedul  worri pancreat  cancer  idea 937,diabet  women health  hyperlipidemia  hypertens 937,abdomin pain  back pain  palpit  protein urin  fatti liver  cancer  pancreat cancer  low back pain  protein  comput tomographi
938,check bite relat may need occlus bite adjust side hurt  ask dentist check 938,teeth sensit hurt eat  fill known caviti 938,nan 938,cari  dental cari  tooth decay
939,infect sound like develop infect area around wisdom tooth  could sinus tooth close sinus space cheek bone wisdom toot  need see surgeon right away 939,hi 3 week sinc wisdom tooth extract  earach left ear expect that gone  cant hear right ear 939,wisdom tooth extract  surgeri  tooth abscess  tmj syndrom  abscess  dental abscess  dental implant 939,earach  tooth extract  wisdom tooth extract
940,yes mean origin tumor breast  primari breast cancer spread metastas lung 940,mother stage 4 rare breast cancer  got doubl mastectomi  ive read incred benefit coq10  input 940,cancer  lung cancer  esophag cancer  surgeri  thorac outlet syndrom  minim invas thorac surgeri  video assist thorac surgeri  robot thorac surgeri  thorac neoplasm  thoracoscopi  collaps lung  video assist thoracoscopi  ct scan  pet scan  pleural effus 940,breast cancer  breast carcinoma  cancer  coq10  mastectomi  femal health
941,good news reassur  sometim feel like cant get full breath  sign anxieti  speak doctor stress anxieti issu may 941,see pulmonarologist tomorrow sob  chest xray  ekg blood work normal  could asthma  copd emphysema gp said lung sound clear 941,lose weight  botox  well lifestyl  bioident hormon  facial filler 941,asthma  emphysema  general practition  electrocardiogram  copd  xray chest
942,yes   possibl cousin situat unfortun  cancer breast 20s uncommon   cancer age except  lesion  tumor  felt clinic examin   possibl see mammogram   mri  suspici area   final diagnosi made biopsi histolog examin pathologist 942,would sign breast cancer show regular chest ex ray would show mammogram 942,cancer  hernia  hemorrhoid  wart 942,breast cancer  breast carcinoma  cancer  mammogram  mri breast contrast  mri breast  ultrasound breast  digit mammogram
943,known happen vitamin defici common  mani peopl take extra vit  drink nonfat milk correct problem  blur vision also common symptom  relat vit  research still studi vit  mani eye problem caus blurri vision  person seen ophthalmolog eye doctor  one tri fix vision take vitamin 943,vitamin defici caus fatigu depress anxieti  especi concern fatigu  blood level 10 943,children health  vaccin 943,fatigu  feel anxious  depress  lethargi  poor nutrit  vitamin defici  vitamin defici  ricket  calcitriol  vitamin
944,like even took longer heal hole sinus infect  like would persist swollen lymph node  assum eventu fact heal  especi true experienc symptom sinc 10 month  doesnt rule swollen lymph node anoth separ dental infect  recent cold 944,swollen cervic lymph node 5 month havnt shrunk grew normal cbc doctor worri mean cancer 944,dental health  dentistri  tooth pain  fals teeth  teeth clean  abscess  oral health  oral surgeri  dental cari  dental implant  dental anxieti 944,cancer  complet blood count  cbc  immun
945,depend could either  seizur frequent loss concious  pain panic attack usual headach  either  see doctor 945,16yo 2 seizur eye roll cant woke within 2 day 1 neg eeg 1 pos mean hes epilept drs dont know 945,lose weight  get pregnant  sport medicin  heart diseas 945,unconsci  epilepsi  seizur disord  seizur  epilept seizur  eeg
946,cold flu cold flu would like answer  worsen continu  see md  good luck 946,husband asthma sick high fever vomit could flu go hospit 946,orthodontia  fever  swell  feel anxious  bad breath  malocclus  blister  tooth pain  dental brace  teeth  mouth brace  leg pain  pain mouth sore  larg jaw  orthodont retain  cleft lip  lip blister  patient communic  protrud jaw  self ligat brace 946,influenza  flu
947,need regul case  take birth control pill three month get period back normal  woman may think counterproduct want get pregnant  go get pregnant get bodi back normal menstrual cycl 947,sinc asthma ankl trauma octob troubl sleep due chest tight pain seen sever doctor period still noth help fine 947,nan 947,insomnia  asthma  sleep disturb  chest pain  chest tight  sleep  ankl trauma
948,might tmj mani thing could  sometim signific clench teeth caus muscl spasm  temporali muscl go along side head hair  tri ibuprofen everi six hour  tri cold pack along sore part head  eat soft diet  awar might clench teeth   see tmj bite dentist help break spasm 948,ok like rais eyebrow sudden got felt like muscl cramp head  normal muscl feel tight face also  also got headach 948,cosmet dentistri  tmj syndrom  dentistri  dental care  teeth whiten  dental implant  cosmet  tooth pain  porcelain veneer  sleep apnea  obstruct sleep apnea 948,nan
949,need evalu pain may indic adjac segment problem c56 would typic radiat hand  thumb index finger  may need addit imag check  occur approxim 25% patient cervic fusion 10 year 949,shingl normal left shoulder   without outbreak right  caus arm go numb caus dizzi  lightheaded 949,backach  spinal fusion  spinal surgeri  neck pain  fusion neck vertebra 949,dizzi  numb  herp zoster  shingl
950,hard say antibiot root canal therapi start tooth  extract incis drainag remov much infect  sourc infect need address  speak dentist regard treatment propos 950,root canal 5 day ago  2 day pea lump gum  pain swell  dentist call clindamycin  help 950,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 950,root canal  clindamycin  cleocin
951,could sinus infect penicillin strong enough  persist next day would seek eval fem doc 951,24 male    enlarg subment submandibular node side    molar tooth side hurt infect reason 951,sleep  femal health  acn  diabet  cancer  depress  child diabet  facial pimpl  lose weight  asthma  diabet risk  cerebr apoplexi  laparoscop surgeri  sleep disord  foul tast mouth  feel anxious  drowsi  fever  weight loss program  intern medicin pediatr 951,molar tooth
952,vari tmj problem vari natur  sever  durat  depend caus tmj pain  may experi pain lower jaw  cheek area  front ear  templ region  even back neck  chronic tmd requir evalu train profession chronic pain would suggest see dentist trainedto manag tmd myofaci pain  best luck 952,pinsneedl head switch side daili pain jaw neck unbalanc hard swallow tmjbrainneck mri clear brain feel foggi help 952,dental health  dentistri  tooth pain  fals teeth  teeth clean  abscess  oral health  oral surgeri  dental cari  dental implant  dental anxieti 952,difficulti swallow  tmj syndrom  mri neck  mri  magnet reson imag  chiropractor
953,dentist see dentist asap  damag teeth let bacteria leak bloodstream caus health issu  enlarg lymph node may sign might infect  take care quick 953,sever toothach tooth fill 2 year ago  went dentist want root canal could find anyth wrong x ray 953,vitamin defici  vitamin supplement  vitamin b12  hypothyroid  underact thyroid  celiac diseas  gluten free diet  depress  mthfr dna mutat  homocystein  chronic fatigu  lyme diseas  magnesium defici  integr medicin  hyperthyroid  magnesium sulfat  hashimoto thyroid  triiodothyronin  revers rt3  magnesium rbc 953,tooth pain  root canal
954,difficult tell read descript  best exam physician  especi experienc symptom e g   throat pain  fever  chill  pain swallow  etc  determin small bump back mouth evalu small red vein 954,small extrem itch bump leak yellow crust around nose  chin  forehead bit cheek  neck itch around jawlin  idea 954,skin rash  help child colleg  migrain  migrain headach  stiff neck 954,nan
955,absolut lymph node check doctor internet 955,infect tooth dentist cant get anoth week two wonder someon could call antibiot bring swell 955,sleep  tuberculosi  cough  copd  vitamin defici  asthma  sepsi  fever  lung diseas  bronchoscopi  sleep disord  thoracoscopi  extrapulmonari tuberculosi  ultrasound chest 955,antibiot
956,varir ideal result cultur would come back coupl day  realiti full cultur antibiot sensit may take 57 day come back  blood cultur result may take longer direct abscess fluid cultur breast 956,im get blood drawn morn drink alcohol last night blood test medicin take 956,cancer  hernia  breast cancer  laparoscop surgeri  surgeri  breast carcinoma  gallston  colon cancer  inguin hernia  abdomin pain  diverticul  gi cancer  abdomin surgeri  laparoscop gallbladd remov 956,alcohol
957,hypertroph scar occas  delay heal sutur reaction cyst neuroma may produc hypertroph pain scar  biopsi benign  would first recommend steroid inject 957,son 9 play sun 1 hour afternoon daili  get ankl pain  blood test show vitamin d3 9ng ml  someth wrong much supplement need 957,breast implant  liposuct  tummi tuck  facelift  breast augment  tuck  facial plastic surgeri  labiaplasti  labial reduct 957,ankl pain  supplement  children health  vitamin
958,mouth breath uncommon osa individu may nasal airway insuffici thus breath primari mouth  dysfunct breath pattern may lead enlarg tongu night sleep  nocturn bruxism continu except rather grind clench teeth  enlarg tongu take brunt damag 958,mayb way remov scar tissu cheek prevent cheekbit teeth straight well care 958,sleep  tmj syndrom  teeth  snore  sleep apnea  apnea  root canal  oral surgeri  dentistri  tooth pain  dental implant  cleft lip  bone loss  orthodontia 958,scar  human bite  cheek bite
959,depend depend doctor tri accomplish   mother ask  low dose zoloft  could crosstap onto new medic  yes 2 ssris time could lead serotonin syndrom  probabl low dose zoloft list  pleas ask mother physician concern 959,safe take duloxetin 60 mg morn buspar 15 mg bedtim togeth  like caus serotonin syndrom 959,nan 959,serotonin syndrom  duloxetin  serotonin  cymbalta  buspar  busipiron
960, frequent sexual intercours caus yeast infect 960,unprotect sex 2 day ago  sex im wateri clear oderless discharg sign pregnanc 960,nan 960,sexual intercours  birth control  sex  pregnanc
961,dentist could relat cold sore say tooth pain  could multipl problem cold sore affect swolen gland could abcess tooth produc bacteri infect possibl caus gland swell  bottom line see dentist 961,got one greenpea size non tender lymph node neck side wisdom tooth infectn  see dentist soon  lymph node relat tooth infect 961,cosmet  dental implant 961,dental abscess  tender lymph node
962,osa yes  creat irrit  depress like symptom  poor concentr  poor memori mani other 962,prescrib remeron  sleep problem also hope knock situat depress  30mg daili  good medic 962,sleep apnea  copd  interstiti lung diseas  sarcoidosi 962,insomnia  weight gain  depress  situat depress  remeron  sleep  mirtazapin
963,see dentist import infect stop especi augmentin  return doctor remov teeth resolv problem 963,took augmentin 7 day clindamycim 7 day base oral surgeon recommend  still tooth infect  what next see doc soon  tks 963,dental implant  periodont  oral health  co2 laser 963,periodont  augmentin  amoxicillin clavulan
964,dentist vs doctor given symptom  go see health care provid  either dentist familydoc  id lean toward former first  dont dentist cant get wknd  go emerg depart evalu  difficulti swallow worrisom sever danger  emerg condit  dont wait delay 964,serious bleed gum gingiv recent notic red itchi bump roof mouth    gingiv 964,testosteron  androderm  male health  testoderm  erectil dysfunct  inabl sustain erect  inabl attain erect  dementia  alzheim diseas  dht  muse  hypogonad  fluphenazin  alprostadil  impot  viagra  erectil failur  prolixin 964,inflamm gum  gum diseas  itchi rash  oral maxillofaci surgeri  oral surgeri  gingiv
965,depend ask doctor dilat bile duct  gallbladd remov  normal slight enlarg bile duct  addit  age  bile duct usual enlarg bit  usual 1 mm per 10 year  stone bile duct  certain need address  final  prove pain dilat bile duct quit difficult 965,19 year old shave privat area sinc 16 left ingrown hair caus scar  definit make insecur go swim even chang cloth   know way get rid 965,cancer  melanoma  stomach cancer  laparoscop surgeri  liver cancer  pancreat cancer 965,scar  ingrown hair  swim  cicatrix
966,brown mens hello craig56  sex time period due  like could pregnant miscarri endometrium slough imposs blastocyst fertil egg implant  brown discharg  accompani pain  would concern endometri pelvic infect would wise see doctor thx 966,im due period today need delay till least saturday    iv taken appl cider vinegar drink water lemon help 966,obstetr gynecolog  cardiovascular diseas  infecti diseas  cardiolog  musculoskelet condit 966,menstrual period  menstrual cycl
967,shouldnt plavix caus bruis easili  interact plavix wellbutrin  increas wellbutrin level  side effect much wellbutrin anxieti  tremor  insomnia  confus seizur  see dr  side effect  possibl take medic monitor 967,treat anxieti depress insomnia ativan 14 year noth 967,depress  schizophrenia  major depress  bipolar disord adult 967,insomnia  feel anxious  depress  ativan  anxieti
968,need see dentist pleas see dentist fill tooth asap     one possibl fill high  slight adjust may resolv complet     fill may close nerv  lead root canal loss tooth  alev  advil  motrin holist patient  arnica help reduc swell pain temporarili 968,ive take 3 advil  6 hour 10 day due tooth pain  dentist recommend alev  long wait take last dose advil 968,oral surgeri  cosmet dentistri  holist medicin  periodont  orthodontia 968,tooth pain  dental pain  ibuprofen  naproxen  alev  advil
969,dep  usu anxieti wellbutrin bupropion help 2 3 3 4 patient clinic depress feel better  antidepress  antianxieti med  wont help anxieti direct  howev  sometim anxieti symptom depress  case  depress treat anxieti may go away well 969,feel depress toward end pregnanc tri deal anxieti panic attack  therapi  hurt babi 969,depress  feel anxious  stress  anxieti  psychotherapi  psychiatri  borderlin person disord 969,feel anxious  depress  panic attack  melancholia  pregnanc  anxieti
970,see assum subseqi percocet taken close klonopin 46 hrs elaps  one would expect signific risk overdos  develop toler withdraw howev 970,anxieti add  take zoloft klonopin anxieti affect concentr  safe add ritalin mix 970,addict  chronic pain  alcohol  methadon  lose weight  drug addict  suboxon  appetit suppress  withdraw symptom  fibromyalgia  buprenorphin  weight loss program 970,feel anxious  methylphenid  ritalin  sertralin  klonopin  zoloft  clonazepam  anxieti
971,cough medicin would help know age weight child  assum older use mucinex 971,start antidepress  zoloft better option effexor got parkinson   well 971,children health  cough  sleep  skin rash  diarrhea  loos stool  femal health  otiti media  ear infect  vaccin  healthi pregnanc  dermat  vomit  pediatr  fever  child allergi  dysenteri  placement stent bile duct  pediatr allergi 971,zoloft  venlafaxin  sertralin  effexor  antidepress
972,depend everi situat differ  wisdom teeth boni impact  infect abcess  also depend type size bone graft compar  difficult provid comparison 972,mani day wisdom tooth extract brush wound site  rins corsodyl brush teeth 972,oral surgeri  dental implant  anesthesia  bone graft  tooth pain  tooth abscess  wisdom tooth extract  gum diseas  miss teeth  tooth extractor  gum graft  mouth tooth diseas  chip tooth  gum biopsi 972,wound  wisdom tooth extract  tooth extract
973,could viral    take acetaminophentylenol sore throat  lot fluid cours  fever show  may worth test strep  treat appropri 973,constant wateri diarrhea everi 30 minut  fever  excess sweat  chill  vomit  dizzi  fatigu 973,nan 973,vomit  dizzi  perspir  loos stool  fever  diarrhea  excess sweat  lethargi  vertigo  emesi
974,mayb need check see damag actual occur done heal ankl  orthot support shoe also import  refrain weightbear activ 974,displac fibula fractur rough 45 inch knee  doctor saw crutch rice need surgeri 974,foot care  diabet foot  pediatr 974,broken bone  crutch  surgeri  crutch  open repair fibula fractur
975,infect sound like oral jaw infect  see oral surgeon asap 975,lower lymph node behind ear swollen  earach  drainag  wisdom teeth come   ear infect wisdom teeth 975,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 975,ear infect  earach  wisdom teeth  ent head neck surgeri  otiti media  oral surgeri  oral maxillofaci surgeri
976,possibl need return oral surgeon immedi hav area check complic 976,dental clean 2 week ago got infect tooth  er last saturday iv antibiot  cheek eye socket hurt swollen 976,gum diseas  tooth pain  teeth clean 976,dental clean  antibiot
977,u seen asthmat two medic  1 brown one  like qvar  twice day alway  help elimin exacerb  2 blue one sick help open lung  3 troubl need seen immedi  may need oral steroid  either med right enough 977,doctor prescrib fluticason proair hfa albuterol easier breath night  dont asthma  bad 977,nan 977,asthma  fluticason  proventil  ventolin  albuterol
978,ok     without exam  give general inform  sinus infect frequent caus symptom  furthermor sign infect involv collectiion purul materi indic situat antibiot help  might mention strep infect fail zithromax 1 3 time mroe serious fusibacteri infect mouth germ doesnt respond 978,friend left ankl swollen point caus split red tender ackelis tendon also red dot look like ingrown hair pimpl spread upword ball foot lower shin pain feel better lea 978,exercis  lose weight  stress  supplement  ulcer  age grace  diabet type 2  migrain headach  white cell count  oxygen  suboxon  intern medicin  suboxon withdraw  opiat withdraw  medic  pharmacolog 978,acn  pimpl  ingrown hair  split
979,yes wait till splint offf 979,hive 3 week  thought reaction new acn cream tri benzoyl peroxid  would system  psoriasi knee elbow  hive seem exacerb psori 979,liposuct  facelift  eyelid surgeri  eye lift  gynecomastia  breast reconstruct  deep plane face lift  genit plastic surgeri  arm lift  breast lift  tummi tuck  fat transfer  facelift  breast enlarg surgeri 979,acn  hive  pimpl  psoriasi  facial pimpl  dermatolog  desquam  clearasil  benzoyl peroxid  benzac
980,cyst breast common male  breast cancer rare age  someth go  go see doctor surgoen 980,32 yr old male plan take depoprovera hair growth sexual urg reduct  good idea 980,gi surgeri  primari care facil 980,provera  libido  depo provera
981,sowhatstheproblem issu document vitamin b12 defici  issu whether take oral intramuscular shot intranas  depend stomach intestin allow absorpt blood  that usual function age older: less like serious gi problem  unless yove ingest cyanid  dont think serious consider 981,cant sleep  ok take melatonin supplement 981,nan 981,insomnia  alcohol  exercis  caffein  sex  vitamin supplement  supplement  sleep  melatonin  sleep hygien
982,see dentist meanwhil rins gargl salt water  one half teaspoon salt half glass warm  hot  water 982,autioimmun diseas sexual activ  im virgin think genit boil fill puss pop blood come littl white pus current  one pop got anoth right help 982,dental health  crowd teeth  cosmet dentistri  orthodontia  orthodont retain  orthodont headgear  dental brace  impact tooth  crook teeth  second opinion  invisalign  brace 982,pus
983,abcess tooth upper tooth abcess caus pain seem like ear  axillari lymph node chest arm pit  would swollen due abcess tooth  need see dentist abcess tooth  swollen axillari lymph node  need see medic doctor asap 983,tooth crack rotten caus lymph node behind  ear swell littl tender 983,tmj syndrom  tooth pain  canker sore  root canal  cari  dental pain  dental implant 983,tender lymph node
984,go er pleas take son hospit 984,skin rash  month  skin itch  scratch  1st littl bump would appear  spread rais red lump littl bump  sound like 984,human immunodefici virus  male health  sexual transmit infect  depress  lose weight  testosteron  diabet  aid  std  addict  alcohol  men health  gay  lesbian transgend health 984,vomit  skin rash  nausea  abdomin pain  appetit  rash  sever abdomin pain  belli pain  hida scan  gallston
985,probabl tri antihistamin see symptom improv  could also viral upper respiratori infect cold start 985,everi morn  right wake start sneez  itchi nose wateri eye sometim itch  could allerg 985,nan 985,wateri eye  hypersensit  lacrim  child allergi  claritin  zaditor  loratadin  sleep  cetirizin  allergi
986,need see dentist pleas see dentist fill tooth asap     one possibl fill high  slight adjust may resolv complet     fill may close nerv  lead root canal loss tooth  alev  advil  motrin holist patient  arnica help reduc swell pain temporarili 986,fill 42  one side  pain issu idea two caviti   sinc fill one side hurt chew 986,oral surgeri  cosmet dentistri  holist medicin  periodont  orthodontia 986,cari  tooth decay  dental cari  dentistri
987,neurolog constel symptom often result neurolog problem variat migrain  vestibular migrain  especi ct scan sinus normal  howev  conserv diagnosi entertain proper rule big bad possibl like tumor sever progress neurolog infect 987,best med plan headache:concuss neck sprain sport injuri neuro seen  tingl back head  stiff neck  nausea one month later 987,facial plastic surgeri 987,sprain strain  headach  nausea  stiff  neck injuri  inflamm  stiff neck  tingl  ibuprofen  advil
988,unlik like mono  strept throat viral ill  upper pharyng 988,swollen lymph node neck year  ct scan show abnorm  im scare could cancer 988,heart attack  myocardi infarct  deep venous thrombosi  coronari arteri diseas  aortic aneurysm  cardiovascular diseas  coronari arteri bypass graft  thorac neoplasm  peripher vascular diseas  thorac surgeon  venous insuffici  thorac outlet syndrom  thoracotomi  carotid duplex  carotid arteri stenosi  carotid arteri diseas  ultrasound extrem vein  cardiac bypass  cardiac pace  carotid bruit 988,swollen gland  enlarg lymph node  cancer  comput tomographi  ct scan
989,yes  could eczema  athlet foot  someth irrit skin  long go what new 989,notic white spoy iri  itch red eye also wont stop water  emerg 989,exercis  children health  healthi live  healthi eat  women health  pediatr 989,ulcer  corneal ulcer  scar  vision
990,ankl injuri avuls fractur talus depend size avuls  see xray tough recommend treatment  howev  need get crutch non weight bear  stand swell nowher go stay foot  that elev heart essenti  also ice ankl get swell keep elev 990,ankl sprain 4 month ago  mri  everyth normal  still pain heel calf stretch turn foot r hand  what wrong 990,sprain strain  knee arthroscopi  shoulder arthroscopi  ankl arthroscopi 990,sprain strain  ankl sprain  talus fractur  sprain  mri  magnet reson imag  foot sprain
991,coincident pain palat impact wisdom teeth probabl associ  swollen cheek problemat wisdom teeth associ  swell anoth caus  way find what wrong therefor rx indic go examin problem get hand  call dentist   today 991,jaw realli sore  teeth feel trap chang occlus  teeth move around light tooth bond polish front teeth set 991,orthodont  tooth pain  child health  dentistri  tmj syndrom  children health  surgeri  dental pain  oral surgeri  cari  abscess  dental care  oral maxillofaci surgeri  root canal  dental cari  dental health  tooth abscess  teeth  gum diseas  gingiv 991,dentistri  bond
992,need go nearest emerg room get evalu neurosurgeon orthopaed spine surgeon rule known cauda equina syndrom true surgic emerg nerv compress spine lead symptom  outcom critic relat soon surgeri done relat symptom began nerv compress 992,herniat l5 s1 2011 sciatic pain gone   sinc last week feel tingl numb middl toe left feet  due herniat disc 992,backach  back pain  scoliosi  spinal stenosi  pain back  surgeri  sciatica  exercis  bulg disk  abnorm curvatur spine  neck pain  numb  spinal fusion  physic therapi  cervic spine  whiplash  spondylolisthesi 992,herniat disk  bulg disk  numb  tingl  hernia  neuroma  morton neuroma  nerv  travel
993,usual repeat sever lip bite caus chronic stress trauma lip   sometim traumat lesion precancer properti  word may get lip cancer year aggress bite lip there reason get oral cancer lip bite 993,gum receed  trauma  front tooth grind  molar shift inward  clench grindingteeth  sore mouth area  bite cheek  troubl chew 993,child dental health  dental care  dental pain  dental procedur  oral surgeri 993,molar tooth  human bite
994,wisdom teeth wisdom teeth caus problem earach need come  experienc pain  swollen gum  lymph node go away find difficult open mouth  see dentist evalu  xray wisdom teeth remov 994,moment jaw click sound stage slip disc still pop  see treat tmj 994,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 994,bulg disk  slip disc  tmj syndrom  dentistri
995,discuss need oncologist  surgeon  know type cancer  stage person medic histori  take care 995,could mammogram 40 increas risk breast cancer 995,sleep  anxieti  femal health  exercis  exercis  depress  psychiatri  eat healthier  stress  lose weight  stress less  psychiatr drug  insomnia  exercis program  acupunctur  sleep better  health educ  women health  anxieti disord  lifestyl chang 995,breast carcinoma  breast cancer  cancer  exposur radiat  radioact  gamma ray  irradi  mammogram  digit mammogram
996,altern medic sure altern medic howev mind maximum daili dose 996,differ ibuprofen acetaminophen 996,cleft lip palat repair  pediatr dentistri 996,fever  inflamm  rufen  antiinflammatori  analges  tempra  nsaid  panadol  pain medicin  nuprin
997,pregnant  blood test definit posit 2 week  possibl could ovul later 997,breast sore tender  period stomach feel fuuy  took pregnanc test negat  could pregnant 997,infertil  ivf pregnanc  polycyst ovarian syndrom  femal infertil  fertil treatment 997,nausea  mens  menstrual period  femal health  healthi pregnanc  pregnanc  menstrual cycl  pregnanc test
998,possibl could std  also possibl bacteri vaginosi yeast infect  neither sexual transmit  great thing get doc evalu  treatment differ differ caus 998,penil discharg  feel like pee std test came neg  also negat cultur  sensit exam  trich 998,child health  vaccin  autism  autism spectrum disord  pediatr  sid  foster care  fever  age grace  immun  babi hiccup 998,std  sexual transmit infect  gonorrhea  trichomona  penil discharg  urethr  urin  urin  penil  micturit
999,nerv pain describ nerv neuropath pain result nerv compress arm swollen 999,punch woden shelf right hand lost temper middl finger knuckl swollen snd cant squeez hand  happen 999,multipl sclerosi  neurolog  neuromuscular disord  immunosuppress therapi 999,nan
1000,probabl  doesnt sound like bacteri pneumonia  fever persist get wors  id call doctor back  asthmat bronchiti viral infect look similar xray 1000,sick bad cold cough 10 day  im prednison  amoxicillin  albuterol  nose spray  robittusin  asthma wheez breath cough  help 1000,ct scan  mri scan  pet scan  nuclear medicin  oncolog 1000,cough  asthma  wheez  pneumonia  liquid pred  prednison  deltason  proventil  ventolin  amoxil
1001,possibl typic one see plaqu periventricular  brainstem  fluid optic nerv sheath typic  need long convers neurologist 1001,ms lesion brain come goi get mri tomorrow tho acut flare month ago 1001,cataract surgeri  glaucoma  surfer eye surgeri 1001,multipl sclerosi  mri  magnet reson imag
1002,yes absolut especi lower one  see dentist determin may caus vertigo 1002,swollen cheek impact wisdom tooth cyst  pain side palat 1002,tooth pain  dental care  oral surgeri  dental procedur  dental pain  dental health 1002,tooth pain  deal wisdom teeth  oral maxillofaci surgeri  antibiot  dentistri  oral surgeri  tooth extract  wisdom tooth extract  wisdom teeth  palat
1003,plica pain residu pain follow knee surgeri multifactorial: one common issu would differ sourc pain  could includ radicular compon lower back herniat disc  hip arthriti  involv system condit affect knee synovium autoimmun condit low grade infect lyme  thorough work order 1003,knee surgeri 4 year ago take glucosamin  pill could take enough  play sport bad 1003,knee arthroscopi  hip arthroscopi  ankl arthroscopi  shoulder arthroscopi  elbow arthroscopi 1003,sport activ  surgeri  knee surgeri  glucosamin
1004,yes  could yes  vitamin defici could caus fatigu depress  talk doctor replenish  low level  may need high dose temporarili  back mainten dose  pleas awar also possibl multipl condit  need treatment depress  anxieti   vit defici  etc 1004,vitamin protein defici caus depress 1004,nan 1004,depress  poor nutrit  vitamin defici  ricket  folic acid  tryptophan  phenylalanin  serotonin  folat  dopamin
1005,till wear sinc  understand  scuba dive requir awar condit care thing like remain oxygen  etc  would seem foolish dive high  sinc cannabi interfer kind function  would call state normal use anyth like schizophrenia   except vulner peopl  good one deep underwat either 1005,danger smoke marijuana breastfe 1005,adhd  depress  bipolar disord  attent deficit hyperact disord adult  anxieti disord  panic disord  depress adult  bipolar disord adult 1005,children  ganja  breastfeed  cannabi  marijuana
1006,tgab tsh cancer marker  import know nodul 4 5 cm mm cm  get ultrasound guid biopsi  mm  small need surveil  young alreadi symptomat 4 5 cm thyroid mass  surgeri option  pleas discuss doc 1006,solid benign thyroid nodul grow quick could normal tsh level solid benign nodul thyroid 1006,diabet  inflamm thyroid  diabet risk  diabet type 2  antithyroid medic  insulin  thyroid stimul hormon  thyroid cancer  underact thyroid  obes  endocrin disord  adren gland disord 1006,inflamm thyroid  thyroid nodul  antithyroid medic  nodul  thyroid stimul hormon
1007,discuss need oncologist  surgeon  know type cancer  stage person medic histori  take care 1007,breast cancer rampant believ mammogram causat  could verifi inform 1007,sleep  anxieti  femal health  exercis  exercis  depress  psychiatri  eat healthier  stress  lose weight  stress less  psychiatr drug  insomnia  exercis program  acupunctur  sleep better  health educ  women health  anxieti disord  lifestyl chang 1007,breast cancer  breast carcinoma  cancer  exposur radiat  digit mammogram  mammogram  gamma ray  irradi  radioact
1008,fna help fna fine needl aspir   e  needl biopsi help clarifi type cell present thyroid nodul  typic come back either cancer  b benign c cant tell sure  help surgeon come surgic plan best fit 1008,dr  said polycoloni gammapathi  im 26 pot possibl autoimmun w  ana 1:160  esr 29  said shes send oncologist realli scare lymphoma multipl myleloma leukemia 1008,skin cancer  facelift  rhinoplasti  eyelid surgeri  head face reconstruct 1008,inflamm  gammopathi  cancer  leukemia  lymphoma  medic oncolog  esr  ana
1009,see peridontist like gum infect need prompt attent 1009,wisdom teeth grow normal pain brush bloodi tast mouth throb n sore gum brush 1009,diabet  women health  hyperlipidemia  hypertens 1009,inflamm  wisdom teeth
1010,knee one time acupunctur might help wont hurt tri  check famili doc referr orthopedist 1010,lumbar spinal stenosi four back surgeri  also nerv damag leg feet feel extrem burn tingl  want puta spinal cord stimul scs  good idea 1010,surgeri  orthot  co2 laser  co2 laser  fungal nail infect  foot surgeri  orthot 1010,tingl  nerv damag  neuropathi  neuropraxia  spinal stenosi  transmiss  burn pain  implant  revis surgeri  surgeri
1011,see neuroophth aneurysm would less like migrain concuss depend circumst suggest see ophthalmologist neurologist  avail neuroophthalmologist sub specialist appropri symptom 1011,cardiac issu caus everyday head pressur  throb vessel back head  numb brain feel  stick neurolog 1011,vision  migrain headach  ophthalmolog  conjunct  dri eye  eye health  eye exam  cataract  artifici tear  cataract surgeri 1011,numb  neurolog
1012,dont go toer sudden chest pain due unknown caus must go nearest er make sure heart attach  save life   home remedi kit rule 1012,chest tight  tired  short breath  light headed earli  mid  late asthma attack symptom 1012,cancer  hernia  hemorrhoid  wart 1012,asthma  chest pain  chest tight  breathless  multi infarct dementia
1013,start dentist would start dentist  comfort treat tmd  refer someon capabl knowledg 1013,mouth open make pop sound jaw slide tmj also tmj caus perman hear loss  thank 1013,esthet dentistri  oral surgeri  cosmet dentistri  root canal  dental 1013,tmj syndrom  hear loss
1014,stop walk stop walk wood  go direct inhal nebulis  get  go nearest emerg depart  need bronchodil inhal oral steroid 1014,5 yrs old son use ventolin blue colour brown asma sleep cough frequent almost breath worri 1014,asthma  pediatr  immun  prevent medicin  metabol syndrom  endocrinolog 1014,cough  asthma  breathless  steroid  albuterol  ventolin  sleep
