0,need evalu descript symptom may due postop infect hematoma  followup dentist oral maxillofaci surgeon would strong recommend proper diagnosi treatment correct problem 0,use salt water nasal spray help prevent develop perfor septum 0,wisdom tooth extract 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
878,dri skin someth known keratosi pilari  flesh color  littl pimpl goos bumplik  nonitchi  like camp tricep side arm  outer thigh occasion cheek face  usual due dri skin  scrub use someth like amlactin cerav sa lotion twice daili 878,control hormon chang  testosteron level caus bad sever acn  pimpl  pleas explain detail stop masturb 878,child allergi  asthma  allergi  child health  hypersensit  children health  rash  cough  nasal  itch  allerg reaction  rhiniti  fever  psoriasi  immun defici  food allergi  atop dermat  insect venom panel  chronic sinus  acut sinus 878,acn  pimpl  vision loss  male health  testosteron  hormon  nutrit  masturb  facial pimpl  androgen
879,nerv tumor neuroma benign tumor may aris spontan part genet determin process  trauma trigger neuroma format  common women often forc feet illfit shoe  form  neuroma dont resolv  gout may caus similar pain great toe  see podiatrist 879,like ms  eye dr  said might see mri   demyelin  20 50 vision  numb hand  troubl concentr migrain 879,cerebr apoplexi  spina bifida  neuroma 879,difficulti concentr  multipl sclerosi  migrain  numb  ophthalmolog  mri  vision  magnet reson imag  neurolog  demyelin
880,need exam tonsil usual black  seen otolaryngologist 880,wisdom teeth caus bottom teeth becom crook 880,nan 880,wisdom teeth
881,mammogram unabl diagnos cyst  cyst xray densiti solid soft tissu mammo  cyst look like round mass mammo  ultrasound usual easili distinguish cyst solid  cyst come go  get bigger smaller  way predict  fortun  benign 881,numb  tingl pain face  feet arm  feet fall asleep sever time day  eeg  emg  brain cs mri negat  nerv test show normal 881,digit mammogram  mammogram  sonogram  ct scan  ultrasound breast  breast cancer  breast carcinoma  femal health  breast biopsi  breast needl biopsi  xray chest  mri breast  ct chest  mri breast contrast  mri scan  radiolog  ct abdomen  transvagin ultrasound pelvi  diagnost radiolog 881,neuropathi  numb  nerv damag  fibromyalgia  tingl  facial pain  electromyographi  neurolog  nerv  mri
882,unrel probabl unrel tooth  like pharyng  voic return normal  persist  see ent doc 882,hypertens mild heartburn  antibiot  best use heal  tooth root infect root canal  clindamycin amoxicillin 882,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 882,heartburn  high blood pressur  indigest  hypertens  hypertens  root canal  clindamycin  cleocin  antibiot  amoxil
883,yes   mani possibl  d3  calcitriol  1  25dihydroxyvitamin d3  long assoc  ca+2 absorpt  bone strength  recent heart muscl strength  suscept infect  depress  etc  time  complex mindovermatt creatur  issu complex  lot unknown  optim level unknown  esp  singl individu level  suggest supplement d3 > 40  check issu 883,brace caus tmj big problem teeth wear brace 6 year move jaw 23 cm 883,blood lipoprotein  atherosclerosi  lipoprotein fraction  coronari arteriosclerosi  diabet  arteriosclerosi  heart attack  arteriosclerosi extrem  diabet type 2  obes  eat healthier  coronari arteri diseas  exercis  ldl  sever high blood pressur  moder high blood pressur  nutrit  hdl  cholesterol test  high blood pressur young age 883,tmj syndrom  brace  orthodont
884,like colonoscopi done well  ie saw entir colon prep good  probabl dont colon cancer  check tpe polyp remov  one wld consid repeat scope becuz polp  check doctor  also need capsul endoscopi check small bowel 884,tooth infect gone ten day amoxicillin   use clyndamycin get rid 884,nan 884,periodont  ten  clindamycin  amoxil  amoxicillin
885,chest pain common complaint young peopl time heart pain  test perform enough 885,ive protrud arteri insid left leg knee sever mths yrs varicos vein lower  keep fit  idea 885,cardiomyopathi  dyslipidemia  congenit heart diseas  exercis children 885,venous insuffici  varicos vein leg  phlebolog  arteri  sonogram  vascular surgeri  varicos vein
886,fibroadenoma benign turn cancer need remov  enlarg caus pain  women simpli dislik lump  surgeri option  altern nonsurg option cryoablat 886,ive nausea 3 day wont go away   feel pressur neck run back head  also forehead left cheek feel littl numb left eyei blurri 886,breast cancer  melanoma  breast surgeri  breast diseas  immunotherapi 886,nausea  rsv  numb  mening
887,could either yeast infect irrit shave caus itch  white discharg much heavier use antibiot late  reason treat counter antifung cream  generic store brand fine 887,11 month old mani teeth come  three hour ago  gave acetaminophen teeth  give ibuprofen sleep 887,immun 887,teeth  pain medicin  sleep  rufen  panadol  tempra  nuprin  motrin  ibuprofen  advil
888,age unlik probabl cancer need followup provid blood test continu examin monitor lymph node continu see provid make sure start heal 888,old silver tooth fill stain gum  way remov stain 888,dementia  nutrit  pain manag  natur remedi  weight loss program  addict medicin 888,tattoo  transplant  transplant  graft  amalgam
889,need inform unclear yove said incorrect spell yore ask  cough  fever get hit chest could infecti could someth els  pleas go see doctor 889,wisdom tooth abscess  cant open jaw treat 889,contracept  oral contracept  manag hay fever  depo provera  upper respiratori infect  earach  eustachian tube dysfunct  intrauterin devic  sore throat  famili medicin  well lifestyl  eat healthier  migrain  intrauterin devic insert 889,abscess  oral surgeri  oral maxillofaci surgeri
890,alway possibl await biopsi find 890,take neurontin peripher  neuropathi told stop nerv damag progress   true 890,diabet  women health  hyperlipidemia  hypertens 890,neuropathi  nerv damag  peripher neuropathi  neuropraxia  neuralgia  neurontin  nerv pain  nerv  gabapentin
891,get biopsi fool appear skin lesion  look small  get remov examin pathologist  philosophi 26 year plastic surgeri practice: worri  better bottl bodi 891,diagnos breast cancer 23 doubl mastectomi 25  prevent panick attack 891,scar  facelift  cosmet surgeri  scar  eyelid surgeri  keloid  breast implant  gynecomastia  hand surgeri  scar revis  tummi tuck 891,breast cancer  breast carcinoma  cancer  panic attack  femal health  mastectomi  psychiatri
892,see doc vigil  may experienc blood flow issu foot  could also repres focal digit nerv involv also  even earli infect  contact doctor see tomorrow  latest  regard diabet neuropathi  found great benefit combin lyrica metanx  might discuss also 892,jaw keep click  symptom tmj temporomandibular joint dysfunct 892,multipl sclerosi  headach  migrain  numb  stroke  cerebr vascular accid  neuropathi  dizzi  migrain headach  seizur  sleep  tingl  alzheim diseas  memori  dementia  exercis  weak  thorac outlet syndrom  memori loss  dementia lewi bodi 892,tmj syndrom  guard
893,implant without doubt  candid dental implant best option  95 percent seccs rate make inform decis  see implant specialist ask question 893,tooth pain 3 mos  caviti fill  dr  examin  saw noth wrong  pain persist  seem travel sinc cant tell tooth 893,dental health  dental care  oral health  abscess  gum diseas  tooth pain  cold sore  cosmet dentistri  dental cari  periodont  holist medicin  herp simplex  cari  dental implant  teeth  tmj syndrom  blister  exercis  anesthesia  oral herp simplex 893,dental pain  tooth pain  travel  endodont  root canal  caviti
894,check w rheum 4 negat joint aspir make gout less like  multi joint problem poli articular arthropathi may show rheumatoid panel  though general inflamm test esr crp normal elev  get diagnosi bc mani good medic avail treat rheumatolog diseas today 894,deni zoloft   dr  said compat w tramadol  ocd med compat w tramadol put sleep much 894,scoliosi  cerebr palsi  neuromuscular disord  unsteadi gait  bone fractur repair 894,obsess compuls disord  serotonin syndrom  zoloft  serotonin  tramadol  sleep  sertralin  ultram
895,ulcer coliti get referr local ibd inflammatori bowel diseas center feasibl gi specialist specif inteterest ibd  sever option avail  option detail discuss 895,tooth hurt  got root canal done  still hurt  got extract bone graft  still hurt ialso got wisdom tooth extract day side mouth dri socket  whatshould 895,coliti  pancreat  common cold 895,dri socket  facial pain  facial  dentistri  root canal  graft  bone graft
896,leav alon babi acn felt trigger babi high level matern hormon level sustain pregnanc  prepair breast feed  clamp cord cut new hormon input  leav wet spa pregnanc put babi contact skin irrit germ  process acceler peak  intens vari  eventu hormon  acn gone 896,besid ringworm kind rash caus red circl   wart like skin tag breast area show night 896,child health  chickenpox  ear infect  sleep hygien  learn disord 896,ringworm  rash  dermat  skin tag  red skin  wart  skin rash  verruca  staph infect  scar
897,like  musculoskelet pain back hip  kidney  renal ultrasound would reason exclud swell kidney  follow imag hip lumbar spine 897,constant reoccur ear infect caus frequent ring  lead dizzi motion sick  home remedi 897,kidney stone  male health  burn  tamsulosin  coumadin  urinari bleed  blood urin  bph  urinari retent  urinari tract infect  esrd  nephrolithiasi  kidney failur  ciprofloxacin  stress  numb  ciprofloxacin hydrochlorid 897,ear infect  dizzi  malais  hear loss  motion sick  otiti media  home remedi  vertigo  hear test
898,yes bad idea  especi fever  would want rule strep throat  could viral  better check 898,7 month old ear infect seem get wors  deep cough sound pain  runni nose fever fussi 898,nan 898,rhiniti  ear infect  fussi  fever  cough  urinari urgenc  otiti media  runni nose  urgent care
899,yes first clean scrape soap water  peroxid  rice rest  ice  compress  elev  see doctor  mani thing injur fall like  would need special treatment  exampl  fractur base thumb joint problem left untreat  certain type wrist fractur 899,mri reveal tear medial meniscus right knee  doctor say clinic noth pain due pfs  possibl 899,carpal tunnel syndrom  tendon  dupuytren contractur  contractur  wrist pain  arthriti  carpal tunnel surgeri  hand surgeri  wrist arthroscopi  wrist injuri disord  occup injuri  rheumatolog 899,surgeri  imag  mri  magnet reson imag
900,stasi one know form  specul due stasi bile gallbladd precipit salt  much like glass water salt let stand salt settl bottom  gallston made cholesterol calcium usual 900,often bloodi diarrhea blood clot  diagnos ib   normal mayb  there someth  els 900,hernia  laparoscop surgeri  cancer  breast cancer  surgeri  gallston  tender abdomen  colon cancer  hiatal hernia  hernia repair  inguin hernia  gastroesophag reflux diseas  lump groin  lipoma  hemorrhoid  thyroid nodul  acid reflux surgeri  breast cancer  hernia repair  robot surgeri 900,loos stool  diarrhea  dysenteri  irrit bowel syndrom  bloodi diarrhea  blood clot  bacteri dysenteri
901,think breast ca physician speak foreign tongu time  mani patient ask spread cancer bone  bone cancer  breast cancer cell lung cancer like breast cancer cell spread lung  would cancer mass lung biopsi would show breast cancer cell  would metastat cancer lung  think issu 901,normal increas sciatica pain start round prednison bronchiti pain seem nerv pain 901,breast cancer  colon cancer  lung cancer  melanoma  gi cancer 901,bronchiti  neuralgia  nerv  nerv pain  prednison  low back pain  liquid pred  deltason  sciatica
902,also consid may lymph node  could cyst small abscess area  nodular lesion 902,stitch come wisdom teeth surgeri  would pain swell go away 902,nan 902,oral surgeri  dentistri  wisdom teeth  surgeri
903,qualifi  barium enema might find polyp  colonoscopi gold standard test  sensit accuraci within colon polpi remov analysi  cours imposs barium enema 903,hard sm salivari gland stick pain press undersid jaw doesnt happen side mouth though 903,exercis  quit smoke  smoke cessat  sleep  diabet  lose weight  tobacco cessat  healthi diet  ldl  diabet type 2  weight loss surgeri  laparoscop surgeri  fit exercis  asthma  child diabet  weight manag  child allergi  apnea  healthi live  strength train 903,saliva  dentistri  calcium  salivari gland
904,yes yes 904,4 wisdom teeth taken 8 day ago  2 impact  1 half fulli expos last 3 day ive terribl earach  normal 904,ulcer coliti 904,earach  blood clot  dri socket  wisdom teeth  dentistri  tooth extract  oral maxillofaci surgeri
905,advil  aleev see doctor blood workup make sure rheumatoid arthriti live area could tic bite tell doctor 905,could tell  person atrial fibril  take metoprolol   valium need  also requir second medic high blood pressur one go valium 905,nan 905,high blood pressur  atrial fibril  abnorm blood pressur  metoprolol  valium  hypertens  hypertens  fibril  blood pressur  beta blocker
906,someth amiss pain start right tooth restor  realli strong chanc tooth  also differ one  denist need isol tooth  sinc cant diagnos internet  endodontist area may abl help dentist cant 906,correl asthma eczema 906,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 906,eczema  asthma
907,depress symptom mani time  depress symptom express physic disorders: headach general pain  care specialist  need full work condit  start antidepress treatment right away  mani associ pain depress  treatment difficult take long show success  dont give 907,deep ach ankl feet well  neuropathi  feet turn blue purpl feel cold turn red shower 907,psychiatri  depress  antipsychot  attent deficit hyperact disord children  memori loss  attent deficit hyperact disord adult 907,peripher vascular diseas  red skin  vascular condit  vascular diseas  nerv damag  angiiti  neuropathi  diabet neuropathi  vascul  podiatri
908,peni present long time chang size caus symptom  chanc normal  would still suggest see doctor check lot thing depend appear 908,4 mth old  congest  sneez  wet cough  runni nose ran fever low grade  put vapor rub feet 908,diabet  echocardiogram  infecti diseas  coronari arteri diseas  stroke  hypertens 908,rhiniti  fever  cough  nasal spray  pretz  respiratori system  common cold  runni nose  oxymetazolin  seamist
909,mammogram one tool detect breast cancer  lobular breast cancer  make 15% breast cancer  inflammatori breast cancer often seen mammogram  tell patient three part detect breast cancer: 1  selfexam month 2  breast exam healthcar profession year  3  mammogram year age 40 909,vitamin b12 defici leg cramp anterior shin splint  get cure forev  abl jog henceforth 909,breast cancer  chemotherapi  ovarian cancer  metastat breast cancer  medic oncolog 909,muscl strain  shin splint  leg cramp  vitamin defici  numb  vitamin b12 defici  poor nutrit  magnesium  potassium  splint
910,possibl sciatica sciatica caus irrit nerv back caus pain run leg like describ  also potenti caus well  usual detail histori exam determin caus  thank question 910,ach burn  feet  most ball   hurt period rest  first step pain   heel pain  hi arch 105lbs 40 yrs 910,surgeri  scoliosi  abnorm curvatur spine  broken bone  back pain  pain back  herniat disk  spinal surgeri  orthoped spine surgeri  spine surgeri  neck surgeri  minim invas surgeri 910,heel pain  babi first step  antiinflammatori  ibuprofen  motrin
911,inflammatori cancer inflammatori breast cancer ibc rare caus fever  usual women lump  swell breast  red discolor skin swell skin pale line look like stretch mark  agre previous doctor may abscess pocket infect breast  hasnt gone complet away  pleas see doctor soon good luck 911,could swollen lymph node normal cbc  neck wisdom tooth extract  10month ago bad infect  hole sinus time 911,cancer  laparoscop surgeri  surgeri  hernia  femal health  breast cancer  hemorrhoid  lump groin  breast carcinoma  lose weight  inguin hernia repair  abdomin pain  colon cancer  weight loss surgeri  lymphedema  abdomin discomfort  gastric bypass surgeri  bypass surgeri  gastroparesi 911,enlarg lymph node  swollen gland  tooth extract  complet blood count  cbc
912,otherwis healthi may want dri otc decongest  analges  cough medic  23 day symptom worsen dont improv may consid  time year selflimit viral infect  sure flu shot  dont smoke keep fluid intak 912,day yesterday heart rate drop 40 bpm  yesterday start feel pressur chest left arm discomfort  could beta blocker run er heart attack 912,urin drug screen  drug test  surgeri  wound care  emerg medicin 912,heart attack  cardiac arrest  myocardi infarct  beta blocker  heart rate  run  metoprolol
913,chest x ray see doctor chest x ray full assess  consid smoke cessat scare cancer 913,ive symptom past 3 months: nasal congest  tire  achey bodi  headach  dizzi  weak  sore throat  bad breath could 913,chest pain  chest tight  angina  chest pressur  sore throat  urgent care  famili medicin  sexual health 913,sinus  congest nose  asthenia  throat pain  stuf nose  headach  dizzi  sore throat  block nose  ent head neck surgeri
914,yes yoll get workup  probabl start repeat two week alcohol unneed med  theyr still  yoll get screen coupl treatabl medic ill  would great time  yore wait  get back fitnessfocus lifestyl  best wish 914,doctor put mother two ssris  lexapro  20 mg ad zoloft 50 mg place abilifi  safe worri seratonin syndrom 914,cancer  acn  human immunodefici virus  nutrit  femal health  child health  breast cancer  male health  vitamin defici  breast carcinoma  pap smear  scar  exercis  anemia  lung cancer  iron defici anemia 914,serotonin syndrom  zoloft  sertralin  ssri  serotonin  lexapro  aripiprazol  abilifi
915,fun sound like need see doctor possibl prescript steroid 915,finish 2 round zpack bronchiti  wheez cough  still sick   prescrib prednison  advair diff dr   ive pee everi 2 hrs night  normal med 915,headach  lose weight  diabet  fibromyalgia  chronic pain  alcohol  manag high blood pressur  live fibromyalgia fms 915,bronchiti  urinari tract infect  cough  wheez  azithromycin  z pak  bladder  urin  prednison  micturit
916,see doctor need see regular doctor confirm diagnosi start oral antibiot 916,4 year old 100 5 fever complain pain @ top head   runni nose cough sneez easili fatigu   could take er 916,lasik  cataract surgeri  dri eye  corneal transplant 916,rhiniti  cough  fever  runni nose  pediatr
917,symptom canc uncommon age symptom lumpi occasion strang tingl sore  itchi armpit symptom cancer  month breast self exam note notic differ time time  would advis  peac mind  see posit undergo routin breast exam time annual breast exam long first exam normal physician 917,mri show  disc bulg upper lower spine spinal stenosi  area   told  peripher neuropathi    relat 917,hernia  laparoscop surgeri  colon cancer  breast cancer  acid reflux surgeri  gallbladd diseas 917,neuropathi  spinal stenosi  peripher neuropathi  nerv damag  spinal diseas  mri  magnet reson imag
918,sex urg reduct good idea bless pcp  endocrinologist  gynecologist  internist  best luck 918,dentist quick clean tarter front teeth fill els  updated_at =  find one front teeth becom sensit 918,pimpl  facial pimpl  allerg reaction 918,sensit teeth  dentistri
919,yes allergist dermatologist abl discov possibl caus condit  offer treatment improv son condit 919,use marijuana pregnanc help w  anxieti  depress quit pregnant   unsaf use breastfeed 919,exercis  eat healthier  exercis  exercis brain  healthi cook  child health  children health  sleep  femal health  healthi diet  diabet  fever  diet  skin lesion  infecti diseas  prevent fall  vaccin prevent ill  prevent flu 919,feel anxious  depress  smoke  marijuana  children health  healthi pregnanc  pregnanc  get pregnant  lactat  ganja
920,          someth potenti serious therefor warrant medic evalu  sooner rather later 920,earach ear  pain  constant dull  warm feel  also havestiff neck shoulder  could 920,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 920,stiff  ear infect  earach  shoulder stiff  otiti interna  stiff neck  otiti externa  otiti media
921,normal occurr concern  even though normal occurr normal anatom structur  ask dentist evalu problem rule oral cancer hiv 921,normal father  foot swell 1 year open heart surgeri blood pressur cholesterol level normal 921,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 921,foot swell  open heart surgeri  surgeri  circul  heart surgeri  metabol problem  blood pressur
922,anemia    mani caus anemia physician lab work tri determin caus  ferritin part work rule iron defici anemia 922,ive depress late normal im quit happi person  got bad thought suicid  take antidepress 922,children health  exercis  vaccin 922,depress  thought suicid  suicid  antidepress
923,teeth pain general ibuprofen much effect teeth tylenol  also let babi chew cold teeth ring parent found camilia realli aid teeth discomfort  import give babi four dose acetaminophen one day  acetaminophen realli challeng liver  massag gum tissu soft bristl brush also help 923,brace correct underbit  protrus longer via teeth extract  hear click nois  need surgeri fix tmj 923,child health  teeth 923,tmj syndrom  underbit  tooth extract  surgeri  brace
924,spinal stenosi arm numb weak symptom well possibl pinch nerv spur  hx could guess tendenc arthriti joint like shoulder  make sure shoulder pain due arthriti  talk provid abl help better examin  good luck 924,root canal infect tooth strong antibiot  face swollen hurt bad 924,primari care servic  structur teach  intern medicin  nephrolog  cardiolog 924,root canal  antibiot
925,option describ grade 3 extern hemorrhoid  symptom mention toler follow high fiber diet avoid dehydr keep stool soft easi pass  bleed  enlarg pain occur would probabl requir hemorrhoidectomi 925,treatment option detach retina lower part eye 925,hernia  surgeri  laparoscop surgeri  cancer  hiatal hernia  hernia repair  colon cancer  abdomin pain  groin hernia  gastroesophag reflux diseas  gallston  append  diverticul  minim invas surgeri  sleev gastrectomi  laparoscop gallbladd remov  obes surgeri  hiatal hernia surgeri  bariatr surgeri 925,detach retina  retin detach  eye health  retina  retin surgeri  retin detach surgeri
926,hospit day week surgeri  46 wek full surgic recoveri  depend procedur pre surgic orthodont  time afterward brace vari 926,eat   prostat cancer avoid sugar drink glass red wine ok  danger 926,orthodontia 926,red skin  prostat cancer  cancer  sugar  male health
927,yes yogurt benefici bacteria elimin potenti harm bacteria gut  good bacteria may prevent candidiasi yeast infect develop  condit improv day  return ent 927,4 5 x 3 5 thyroid nodule: solid  hypervascular  tgab 70 tsh 3 15  symptomat   cancer marker 927,gum diseas  bone graft  dental abscess  dental implant  periodont  dental laser  dental anxieti 927,thyroid nodul  inflamm thyroid  cancer  antithyroid medic  thyroid stimul hormon  biopsi  nodul  sonogram  surgeri  ultrasound guid biopsi
928,extrem unlik 928,advanc lobular breast cancer  success rate mastectomi  3rd generat chemotherapi radiat done 928,polycyst ovarian syndrom  diabet  endocrinolog  thyroid  diabet  rotterdam polycyst ovarian syndrom pcos panel  thyroid 928,neoplasm  breast carcinoma  breast cancer  cancer  gamma ray  hormon  mastectomi  chemotherapi  radioact  medic oncolog
929,pediatrician eczema  pediatrician see dozen case take care easili  usual recommend start good moistur soap dove bath  use fragranc dye free moistur least 23 time daili  benadryl bedtim itch  persist itch patch respond counter 1% hydrocortison use twice daili 1 week 929,didnt get depoprovera 6 month ago want get pregnant right away  first month got period brown last 4 day  final  bleed normal  test ovul cant seem get pregnant 929,children health  child health  vaccin  adhd  fever  rash  sudden infant death  sleep disturb childhood  infecti diseas 929,ovul  pregnanc  get pregnant  fertil  semen  sex  menstrual period  menstrual cycl  femal health
930,14 week initi heal period typic take 12 week gum tissu take 34 week  bone heal take 68 month depend care area 930,neurontin accept pain med treat sever pain diabet neuropathi 930,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 930,diabet type 2  diabet  neuropathi  child diabet  nerv damag  seizur  diabet risk  cymbalta  capsaicin  gabapentin
931,dvt better get check see blood clot  ultrasound make diagnosi 931,elev blood serotonin level caus break random rash 931,ct scan  stroke  varicos vein  carotid arteri diseas  venous insuffici  vascular ultrasound  aorta bilater iliofemor runoff cta 931,high blood pressur  dermat  skin rash  rash  abnorm blood pressur  serotonin  blood pressur
932,bacteri vaginosi bacteri vaginosi caus bacteria gardnerella  common sexual associ infect  patient need doctor perform pelvic exam wet prep  identifi sign bv  treatment usual straightforward usual good result 932,4 yr old child high fever  would like altern  acetaminophen ibuprofen  far apart taken 932,fetal ultrasound  ultrasound hip  ultrasound chest  ultrasound pelvi  ultrasound spleen  vascular ultrasound  diagnost ultrasound  testicular ultrasound 932,fever  dehydr  high fever  motrin  pain medicin  nuprin  panadol  ibuprofen  rufen  tempra
933,yes esteem colleagu alreadi suggest  remov surgic  danger way mere leav  person  cannot seen talk smile  would leav alon  unaesthet mental bother  remov  depend upon size  depth locat  surgic remov easi involv 933,pain shoulder  press radiat head   dull headach back head   brain tumor 933,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 933,headach  nausea  seizur disord  neoplasm  clumsi  cancer  brain cancer  brain tumor  seizur  massag
934,mayb gingiv gum behind last molar get inflam  call gingiv  area harder keep clean brush floss  gingiv happen often  dental clean help  meanwhil  brush vigor clean area  gentl area week  may let heal  discomfort remain  dentist check someth bad like cancer 934,lower wisdom teeth remov  right side neck  throat  jaw pain hard open mouth swallow 934,children health  vaccin 934,inflamm  feed  wisdom teeth  tooth extract
935,may sleep suggest see pulmonologist  snore sign sleep apnea  effect treatment issu  sleep apnea caus medic problem check 935,think ive got allergi keep sneez hav irrit nose itch eye  happen around febapr everi year sinc 2yr 935,dizzi  voic disord  hear loss 935,hypersensit  allergi
936,anxieti ate assign diagnosi anxieti get thorough physic blood work 936,ive throat pain right side form 2 month  1 doctor told tmj  ear also pain jaw also  bt click sound jaw  swallow problem 936,congest heart failur  cardiac arrhythmia 936,sore throat  throat pain  tmj syndrom
937,yes  might mild pain sore resolv day week 937,sinc nov  llq pain palp  near hip bone  intermit trace blood protein urin  intermitt upper abdomen pain   fatti liver  low back pain  ct schedul  worri pancreat  cancer  idea 937,digit mammogram  mammogram  sonogram  ct scan  ultrasound breast  breast cancer  breast carcinoma  femal health  breast biopsi  breast needl biopsi  xray chest  mri breast  ct chest  mri breast contrast  mri scan  radiolog  ct abdomen  transvagin ultrasound pelvi  diagnost radiolog 937,abdomin pain  back pain  palpit  protein urin  fatti liver  cancer  pancreat cancer  low back pain  protein  comput tomographi
938,unlik unlik  unless facet joint diseas  fibromyalgia like 938,teeth sensit hurt eat  fill known caviti 938,arter  polymyalgia rheumatica  giant cell arter  marfan syndrom 938,cari  dental cari  tooth decay
939,coupl possibl could recurr sinus problem muscl tension headach  key may feel tight  templ pain  common seen muscl tension ha caus  howev  like come neck call cervicogen ha good histori  phys ex  esp  osteopath handson exam might find caus esp  jointmuscl  provid treatment via osteopath manipul 939,hi 3 week sinc wisdom tooth extract  earach left ear expect that gone  cant hear right ear 939,osteopath  pain manag  chronic pain  backach  spine manipul  headach  prolotherapi  nerv injuri  neck pain  back pain  neuropathi  neuralgia  sciatica  migrain  fibromyalgia  chest wall pain  stiff neck  pain medic  chest pain  numb 939,earach  tooth extract  wisdom tooth extract
940,insect bite respons sting bite insect variabl depend varieti factor  bite sting result pain  swell  red  itch affect area  skin may broken becom infect bite area scratch  treat proper  local infect may becom sever caus condit known cellul  vie may infect see doc 940,mother stage 4 rare breast cancer  got doubl mastectomi  ive read incred benefit coq10  input 940,nan 940,breast cancer  breast carcinoma  cancer  coq10  mastectomi  femal health
941,hordeolum hordeolum plug mucous gland caus swollen pouch  warm compress  antibiot  topic  mouth may necessari treat condit  sometim surgeri necessari total erad pouch antibiot  warm compress dont job  eye doctor make best call adequ treatment 941,see pulmonarologist tomorrow sob  chest xray  ekg blood work normal  could asthma  copd emphysema gp said lung sound clear 941,drowsi  paranoia  dehydr  aneurysm  throat pain  arthriti  dri eye  nuprin  cross eye  hordeolum  rufen  neuralgia  strabismus  artifici tear  pain joint  advil  hemoglobinopathi  sore throat  pimpl  acn 941,asthma  emphysema  general practition  electrocardiogram  copd  xray chest
942,inde would see doctor full evalu make sure though  typic symptom includ numb tingl thumb index middl finger  ach wrist  clumsi  tri wrist splint overnight allevi symptom see doctor  hope feel better 942,would sign breast cancer show regular chest ex ray would show mammogram 942,ulcer  cellul  sexual transmit diseas  vitamin  cosmet surgeri  healthi man  emerg medicin  dermal filler 942,breast cancer  breast carcinoma  cancer  mammogram  mri breast contrast  mri breast  ultrasound breast  digit mammogram
943,cst yes  take go away  would recommend craniosacr therapi  may help improv flow cerebrospin fluid heal 943,vitamin defici caus fatigu depress anxieti  especi concern fatigu  blood level 10 943,vitamin defici  natur remedi  vitamin b12  vitamin b 12  ascorb acid  hashimoto thyroid  food allergi  eczemat rash  chronic fatigu  autoimmun condit  autoimmun diseas 943,fatigu  feel anxious  depress  lethargi  poor nutrit  vitamin defici  vitamin defici  ricket  calcitriol  vitamin
944,need investig uncommon age  unfortun except due age develop malign   pleas follow doctor advic  may sonogram possibl core needl biopsi establish diagnosi   treatment base biopsi result good luck 944,swollen cervic lymph node 5 month havnt shrunk grew normal cbc doctor worri mean cancer 944,cancer  hernia  hemorrhoid  wart 944,cancer  complet blood count  cbc  immun
945,fluid retent sound like least symptom due fluid bloat mani women experi part premenstru syndrom  may help use low dose diuret like hydrochlorathiazid 25mg daili help move fluid  also drink diuret herbal tea eat diuret food may help  here help link check out: http:  www umm edu altm articl diuretic0 945,16yo 2 seizur eye roll cant woke within 2 day 1 neg eeg 1 pos mean hes epilept drs dont know 945,abnorm vagin bleed  contracept counsel  intrauterin devic insert  rotterdam polycyst ovarian syndrom pcos panel 945,unconsci  epilepsi  seizur disord  seizur  epilept seizur  eeg
946,mani thing child day care around sick kid keep mind mani infect viral  cure antibiot  child bottl pacifi studi suggest may increas incid ear infect simpl cold  fact eye swollen describ purul discharg eye concern  would child examin asap 946,husband asthma sick high fever vomit could flu go hospit 946,children health  asthma  sleep  autism  femal health  child allergi  cough  fever  diet  autism spectrum disord  rash  chickenpox  prematur deliveri  integr medicin  feed problem 946,influenza  flu
947,general rule orthodont usual caus correct tmd  cours except  true certain orthodont procedur exacerb joint issu  wear elast one  way  brace without surgeri cannot move jaw inch 947,sinc asthma ankl trauma octob troubl sleep due chest tight pain seen sever doctor period still noth help fine 947,orthodontia  fever  swell  feel anxious  bad breath  malocclus  blister  tooth pain  dental brace  teeth  mouth brace  leg pain  pain mouth sore  larg jaw  orthodont retain  cleft lip  lip blister  patient communic  protrud jaw  self ligat brace 947,insomnia  asthma  sleep disturb  chest pain  chest tight  sleep  ankl trauma
948,galactorrhea galactorrhea milk product deliveri normal  especi breast feed stop  menstrual cycl check home pregnanc test  give answer quick 948,ok like rais eyebrow sudden got felt like muscl cramp head  normal muscl feel tight face also  also got headach 948,sleep  heartburn  low blood count  ringworm  addict  drug addict  diabet risk 948,nan
