0, may treat nasal congest 0,use salt water nasal spray help prevent develop perfor septum 0,rhinoplasti  facelift  facial plastic surgeri  septoplasti  eyelid lift  nasal fractur  nasal septum repair  nasal polyp remov  eye lift  skin cancer 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
1037,may feel numb throat due injectt receiv help deaden pain  swell throat  sens happen  pleass call surgeon offic immedi specif advic 1037,make get wisdom teeth swell faster 1037,sore throat  voic disord  throat pain  remov tonsil  hoars  difficulti swallow  laryng  larynx cancer  ear nose throat 1037,wisdom teeth
1038,see oral surgeon would suggest see oral surgeon assess symptom  told cystic degener around impact wisdom tooth treat os  put even resolv return like wors next time 1038,teeth snap togeth bite hard close sometim bite inner cheek uncontrol sleep 1038,oral surgeri  candidiasi  tooth pain  oral thrush  anesthesia  dental pain  facial pain  bone graft  mouth disord 1038,teeth  muscl spasm  stress  tmj syndrom  grind teeth  malocclus  oral maxillofaci surgeri  dentistri  sleep  human bite
1039,hormon hormon therapi appropri tumor 1039,stage 4 breast cancer met lung  brain  adren  liver chemo long one live w chemo radiat 1039,cancer  breast cancer  femal health  breast carcinoma  melanoma  skin cancer  nevi  surgeri  oncolog  male breast cancer  lymph node biopsi  breast conserv surgeri 1039,breast cancer  breast carcinoma  cancer  irradi  radioact  gamma ray  chemotherapi  end life care  hospic  hospic care
1040,augmentin ok tooth infect augmentincombin amoxicillinclavulan correct antibiot prescrib  recommend see dentist check teeth gum might need local dental treatment along antibiot  go see dentist good 1040,infect keep come back broken teeth  need see dentist cant get right away  im augmentin  4th med far 1040,asthma  pediatr  immun  prevent medicin  metabol syndrom  endocrinolog 1040,warfarin  coumadin  antibiot  dentistri  augmentin  amoxicillin clavulan
1041,sever possibl caus bright red blood  get evalu get accur diagnosi 1041,bright red blood stool  includ lg clot  feel nauseat  light head  dull pain mid back left side  worri 1041,vision  migrain headach  ophthalmolog  conjunct  dri eye  eye health  eye exam  cataract  artifici tear  cataract surgeri 1041,dizzi  nausea  malais  multi infarct dementia  blood stool  gastrointestin bleed  digest bleed  fece  hemorrhoid
1042,michael mission pleas check www  michaelsmiss org inform websit colorect cancer 1042,without ib symptom two year  sudden  lot plus new problem includ constip  dark red blood mucus  daili abdomin pain  occasion fever nausea  egd done gi doctor said celiac 1042,nan 1042,constip  nausea  fever  irrit bowel syndrom  cancer  celiac diseas  fecal retent  gastroenterolog  gluten  candida
1043,outdoor live risk  addit black fli  expos mosquito  tick  unclean water  bat  poison oak ivi get examin fever headach  done everyth reason  without success  good luck 1043,could type two diabet caus maculopapular rash face arm leg occasion itchi 1043,bone  joint muscl  backach  physic rehabilit  disabl  pain manag  topic medic laser treatment  fibromyalgia 1043,itchi rash  diabet type 2  inflammatori condit  rash  skin rash  diabet  dermat  fungal infect  insect bite  bacteria
1044,sign would sign condit  may postnas drop sinus type problem  see physician symptom persist worsen 1044,mri determin risk stroke futurebeen sore neck head pressur  head mri done normal  tension 1044,nan 1044,diabet type 2  heart diseas  high blood pressur  diabet  stroke  cerebr vascular accid  diabet risk  smoke  mri head  hypertens
1045,yes pain swell alreadi pretti much gone away  doc removinbg sutur probabl abl find anyth could caus problem 1045,back teeth keep chip would dentist stop wisdom teeth 90% good oral hygien fill 1045,nan 1045,teeth  wisdom teeth
1046,tbi  ms ms complic diseas process sheath around nerv  caus trauma  mani condit develop result injuri   brain trauma  also  possibl misfortun suffer one bad thing  diagnosi ms easi  often come clear patient test evalu  injuri though 1046,high fever sever day symptom ms exacerb 1046,anxieti  bipolar disord  manic depress disord  person disord  dementia  memori  anxieti disord  borderlin person disord  post traumat stress disord  social anxieti disord  mind medit  general anxieti disord  vascular dementia  age grace  relax techniqu 1046,fever  high fever  multipl sclerosi  autoimmun diseas
1047,headach know concuss concuss gone still headach pleas seek medic attent neurolog examin 1047,diagnos mild concuss  februari  headach lessen throb head  slight dizzi still cant  exercis 1047,acn  cosmet surgeri  swallow disord  hoars  head neck cancer 1047,dizzi  headach  migrain headach  migrain  divalproex  magnesium  riboflavin  depakot  calcium  vertigo
1048,may  usual regular ct scan abdomen  without bowel prepar ideal way detect colon cancer  mani lesion like mask fecal matter  larg lesion may discern  3d ct scan  bowel prepar would better detect colon cancer  endoscopi better way  polyp remov suspici lesion biopsi 1048,ct scan show faint ild  went lung dr said pulmonari function test show asthma ild 1048,cancer  nutrit  cervic cancer  ovarian cancer 1048,asthma  interstiti lung diseas  pulmonari function test  ct scan  comput tomographi  spirometri
1049,dont rush surgeri cold nodul nuclear scan could mere colloid cyst unlik concern  thyroid ultrasound done needl biopsi character nodul  nodul solid needl biopsi help guid treatment  surgeri thyroid without risk undertaken good reason 1049,two inconclus biopsi thyroid nodul mwhat suggest 1049,fetal ultrasound  ultrasound thyroid 1049,thyroid nodul  sonogram  thyroglobulin  thyroid antibodi  antibodi  thyroid scan  nodul  biopsi
1050,osteoarthr like osteoarthr  oa  knee hip  unless alreadi diagnosi psoriasi  oa far common  oa  vertebr disc diseas caus sciatica  pain usual radiat way foot  see clinician  also determin whether need see specialist like rheumatologist  orthopedist neurosurgeon  hope help 1050,caus pain joint finger  elbow  knee  low back pain 1050,nan 1050,back pain  arthriti  pain joint  psoriasi  psoriat arthriti  sciatica  pain back  low back pain  rheumatolog
1051,sensat caffein vaso constrictor make vessel smaller  may sensit caffein may take much coffe one day  would reduc caffein intak awar may get headach take much use  tea less caffein might tri tea need caffein 1051,went er high bp bad headach headpressur  left  read 146 94  142 92 123 83  given pain medicin er bp caus headach head pressur 1051,teeth  tmj syndrom  tooth pain  root canal  gum diseas  fals teeth  oral surgeri  wisdom tooth extract  dental implant  cosmet dentistri  child dental health  dental bite disturb  emerg dentistri  dental laser 1051,headach  abnorm blood pressur  hypertens  pain reliev  blood pressur  analges  pain medicin
1052,sound right wisdom teeth impact requir surgic extract  descript seem proper heal time line gum tissu still wouldnt complet heal even week  coupl month bone extract site remodel  fill  continu follow dentist instruct 1052,5 day postop wisdom tooth extract  heal perfect  dentist said im great   keep food hole stitch without irrig syring  syring may caus dri socket said 1052,dental implant  child health  gum diseas  cari  gingiv  cosmet dentistri  dental care  dental cari  cosmet  teeth whiten  inflamm gum  dental health  teeth  eat healthier  malocclus  diabet type 1  diabet diet  tooth disord 1052,dri socket  nutrit  syring  tooth extract  irrig  wisdom tooth extract  dentistri
1053,copd exclud absenc symptom  spirometrybreath test help screen tool histori smoke caus copd  current symptom upper respiratori tract infect  sinus 1053,get check copd smoker 3 year serious medic condit  howev  cough phlegm occasion short breath 1053,bird flu  bronchiti 1053,cough  breathless  smoke  copd
1054,call dentist symptom infect  best thing see dentist diagnos exact problem  antibiot may perscrib  antibiot may help feel better cure problem  treat infect cure  see dentist asap  delay make thing wors 1054,gum around first premolar tooth  right side  sore obvious red swell around area could pain around gum area tooth 1054,tooth pain  root canal  dentistri  tmj syndrom  tooth abscess  dri mouth  dental health  dental abscess  aphthous stomat  teeth  teeth clean  dental anxieti 1054,nan
1055,possibl high risk  otherwis wait deliv babi 1055,safe get flu pneumonia shot time given seprat 6 month pregnant sever asthma 1055,ear infect  safeti  enter  amniot fluid infect  dehydr 1055,asthma  flu  influenza  pneumonia  nasal spray  pregnanc  obstetr  flu shot  pneumococc vaccin  pneumovax
1056,visibl visibl bulg vein leg often result http:  www  nuvelaesthetica com veins_new veindiseas html>venous reflux  condit blood deep vein leg misdirect surfac vein revers flow pattern   rather heart  intend  vein best treat identifi sourc venous reflux feed  shut  tradit   done surgic familiar vein strip procedur  standard care day treat venous reflux endoven ablat ablat insid vein techniqu  like vnus procedur evlt  intens puls light ipl great tool treat fine vessel  1mm less venous mat appear fine mesh red vessel previous treat traumat area  work larger vessel general speak  definit bulg leg vein 1056,neck brown spot  chest red wrink  face wrinkl  brown spot  red  fraxel laser ipl 1056,vein  varicos vein  treat varicos vein  lip augment  surgeri  swell  spider vein  pyrethin piperonyl butoxid  varicos vein leg  sclerotherapi  wrinkl  laser skin resurfac  skin resurfac  age grace  ecchymos  bruis  dermabras 1056,laser  intens puls light  fraxel laser
1057,hard say could either  doctor perform throat swab test sampl rule bacteri strep infect 1057,earach start right left mild sore throat drainag could  also habe bad headach 1057,lyme diseas  travel  transplant 1057,respiratori tract infect  headach  sore throat  throat pain  fever  earach  ear infect  high fever  otiti media  respiratori system
1058,2nd opinion without abl see radiograph swell teeth  hard give second opinion  suggest see specialist area endodontist oral surgeon reevalu mouth determin ail 1058,lupus remiss   sore ear   fever  larg node front ear jaw pain  swollen lymph node caus jaw pain   dentist said teeth ok  derm say ear infec 1058,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 1058,fever  system lupus erythematosus  jaw pain  antibiot  dermatolog  dentistri
1059,info look like question cut 1059,40yr fem  normal stress test  cta chest  ekg  echo norm dop sugg impair lv relax  doctor say heart fine  holter show pvcs pac isol  despit norm diagnosi heart flip flop lot 1059,nan 1059,stress  prematur ventricular contract  isol  electrophysiolog studi  stress test  holter monitor  electrocardiogram  echo  cta
1060,check pregnanc test caus recurr abdomin pelvic discomfort describ may identifi first address sign symptom local organ involved: vagin discharg bleed  alter period  pregnanc risk fever  nausea  vomit  alter stool pattern  blood stool  tender  distens pain urin  blood urin recent trauma  herniat age gender risk factor 1060,breastfeed get period  headach  back pain  nausea  increas appetit  cramp  becom sensit smell  possibl imight pregnant 1060,gastroenterolog  irrit bowel syndrom  heartburn  colonoscopi  endoscopi 1060,appetit  back pain  headach  increas appetit  nausea  menstrual period  lactat  pain back  pregnanc  breastfeed
1061,mcdonald criteria look dissemin space  lesion differ area brain  also spinal cord  dissemin time  presenc old newer lesion  mri pattern confirm diagnosi 1061,lhermitt normal neuro brain neck mri  neuro say ms  symptom intensifi exercis  ms 1061,multipl sclerosi  headach  migrain  numb  stroke  cerebr vascular accid  neuropathi  dizzi  migrain headach  seizur  sleep  tingl  alzheim diseas  memori  dementia  exercis  weak  thorac outlet syndrom  memori loss  dementia lewi bodi 1061,multipl sclerosi  mri  mri neck  magnet reson imag  exercis
1062,anxieti heart rate increas normal part fight flight respons  part train sport posit selftalk success  may want develop specif motiv thought use best someth make feel motiv 1062,heart cath negat 2 year ago  ecg  ekg countless visit er drs   feel like cant get deep breath  even wors tri exercis   someth anxieti 1062,sleep disturb 1062,heart diseas  feel anxious  exercis  electrocardiogram  cardiac catheter  anxieti
1063,enlarg averag person age three palpabl lymph node neck  stabl  preposter enlarg e   peopl arent say  what neck  yod favor go life  seem otherwis healthi  real concern serious ill hodgkin would symptomat 1063,found ct heart angio may 4 mm calcifi nodul  possibl intrapulmonari lymph gland  worri lung cancer  follow 1063,cancer  acn  human immunodefici virus  nutrit  femal health  child health  breast cancer  male health  vitamin defici  breast carcinoma  pap smear  scar  exercis  anemia  lung cancer  iron defici anemia 1063,cancer  lung cancer  nodul  biopsi  comput tomographi  open biopsi
1064,allergist child miser sever month year  visit allergist might order  find child allerg mayb possibl immunotherapi could answer 1064,8 year old son season allergi  give children claritin wonder also children benadryl 1064,children health  asthma  sleep  autism  femal health  child allergi  cough  fever  diet  autism spectrum disord  rash  chickenpox  prematur deliveri  integr medicin  feed problem 1064,hypersensit  child allergi  season allergi  steroid nasal spray  singulair  child allergi test  flonas  zyrtec  memori  allergi test
1065,med steroid may use muscl relax  antiinflamatori pain med  ten machin  steroid oral  epidur steroid inject surgeri   result vari intervent  discuss doctor 1065,radiat pain left arm jaw occassion neck pain back left shoulder blade pain  last 34 month  got ekg done june ok  scare month 1065,diabet  human immunodefici virus  constip  asthma  suboxon  hyperlipidemia  weight loss program 1065,neck pain  pinch nerv  slip disc  radiculopathi  cervic radiculopathi  electrocardiogram
1066,unlik urin pregnanc test posit conceiv iui cycl 14 day iui  make sure use name brand kit follow instruct increas accuraci  sorri : sure urin test call doctor blood pregnanc test done period start 1066,got first period sinc deliveri 12 month post partum  third child  bleed foralmost three week   vagina swollen shut itchi  sexual contact  what wrong 1066,femal health  ovul  infertil  ivf pregnanc  polycyst ovarian syndrom  fertil  tri conceiv  get pregnant  artifici insemin  intrauterin insemin  femal infertil  anti mullerian hormon 1066,vagin itch  menstrual cycl  femal health  children
1067,next day general rule although need care start brush floss next day  want keep adjac teeth gum healthi wound heal better less chanc infect kept clean  ask listen dentist know  medic dental histori specif surgic procedur 1067,im die starvat  6 day wisdom teeth surgeri  dont want dri socket  eat 1067,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 1067,wound  dri socket  surgeri  wisdom teeth
1068,gastoparesi normal endoscopi still gastroparesi  doctor check gastric empti studi may next step  good luck feel better soon 1068,abdomen pain  tender touch week  esp eat  bms seem normal  nausea vomit  burp subsid  hunger meal despit discomfort  could ulcer 1068,health educ 1068,abdomin pain  appetit  belch  nausea  abdomin discomfort  vomit  ulcer  belli pain  nausea vomit  tactil
1069,unlik may under infect  ask doctor send ultrasound  show whether lump cyst solid narrow possibl  inflammatori breast cancer describ uncommon particular age 1069,babi 5 month ago  im breast feed miss period 2 month pregnant  brown discharg  ultrasound found cyst ovari cervix  could cancer 1069,ct scan  radiolog  ultrasound joint 1069,miss period  cancer  femal health  pregnanc  feed  sonogram  breastfeed
1070,depress  import treat medic depress r addict  sometim u need medic speech therapi best approach   u r concern medic u tri therapi first work u add medic  addit   exercis acupunctur may work also 1070,person depress depend life antidepress that case threatment worth tri 1070,sleep  healthi pregnanc  psychiatri  hopeless  adderal  psychiatri sleep 1070,depress  antidepress
1071,possibl ulcer may aphthous ulcer  persist check 1071,went ent check  sore lesion tongu told irrit salivari gland eat yogurt ill fine  trust 1071,sore throat  throat pain  runni nose  rhiniti  allergi  pimpl  hypersensit  ent head neck surgeri  sinus pain  cough  home remedi 1071,salivari gland  ent head neck surgeri
1072,depend new could repres acut viral bacteri process  acut would case  longer like greater 6 week  could relat reflux  see doctor 1072,small red dot roof mouth toward back throat  mouth dri tongu red white coat part  throat hurt 1072,nan 1072,yeast infect  throat pain  candidiasi  sore throat  thrush  oral thrush  gentian violet  nadostin  mycostatin  nyaderm
1073,ok get pneumonia flu shot concurr 1073,30w pregnant  flu + pneumonia shot  p  recommend dtap shot whoop cough  get 1073,hepat  birth defect  infecti diseas  frequent ear infect  asthma children 1073,cough  flu  pneumonia  pertussus  whoop cough  pediatr pulmonolog  pulmonolog  pediatr allergi  pregnanc  children
1074,neck problem mani possibl thing got wrong  sort  ent exam  ct scan  thyroid ultrasound  gi problem esophag portion  etc  ask doctor  delay  may serious 1074,im 18  ex smoker hookah smoker  lump throat  loss weight appetit  dri tongu sore neck  neck feel swollen 1074,nan 1074,appetit  tobacco smoke
1075,may need surgeri hida abnorm 7% ef associ symptom abdomin pain wors meal  diagnosi gallbladd dysfunct like  remov gallbladd usual indic case  choos procedur well  endoscopi would bad idea  complet workup  good luck 1075,mani doctor said might bad gallbladd chronic back pain  pain right shoulder adomin gnaw  ct abdomen pelvi ultrasound  everyth appear ok  iget hida scan done 1075,pet scan  nuclear medicin  travel medicin  nuclear stress test  outpati clinic 1075,back pain  cholecyst  pain back  sonogram  ct abdomen  comput tomographi  gastroenterolog  hida scan
1076,ankl sprain initi injuri 3 month ago ankl still swollen bruis  might sprain  would help see orthopedist  get xray  might also need mri orthopedist suspect ligament injuri   probabl make thing wors continu play 1076,sprain ankl 3 month ago still swollen bruis hurt mom want take specialist would done + witch one im15 1076,diabet  diabet type 2  hiatal hernia  weak  coliti  quit smoke  vein  heart diseas prevent  hernia  well lifestyl  breast lump  cardiovascular diseas  essenti hypertens  osteoarthr  cholesterol test  thyroid diseas  enlarg prostat  anemia  neurolog  atrial fibril 1076,ankl sprain  sprain
1077,mammo yes ultrasound alway 1077,clinic breast exam need mammogram consid cost  think done 1077,ct scan  stroke  varicos vein  carotid arteri diseas  venous insuffici  vascular ultrasound  aorta bilater iliofemor runoff cta 1077,breast swell  breast self exam  menstrual cycl  menstrual  mammogram  breast exam  digit mammogram
1078,everybodi least one palpabl lymph node neck  yore describ normal neck exam  stop worri thank good health 1078,lump neck  jaw  near ear could cancer 1078,cancer  acn  human immunodefici virus  nutrit  femal health  child health  breast cancer  male health  vitamin defici  breast carcinoma  pap smear  scar  exercis  anemia  lung cancer  iron defici anemia 1078,wound  benign tumor  adenoma  neoplasm  cancer  lump front neck  fine needl aspir
1079,return dds seem still infect  may need swell treat local drain may need differ antibiot first one use didnt clearup infect  meanwhil use ice swell  20 min 1079,take antibiot infect tooth root canal start  antibiot decreas pain infect work 1079,nan 1079,root canal  antibiot
1080,rare ovarian cyst caus miss period  ovarian cyst dont put hormon effect cycl 1080,get period two month  enlarg sore breast  bloat abdomen  pain upper back  lower abdomin cramp inner thigh pain  bloodtest negat 1080,femal health  contracept  ovul  intrauterin devic  polycyst ovarian syndrom  exercis  pregnanc test  toxemia  high risk pregnanc 1080,abdomin pain  breast pain  vitamin defici  thigh pain  ovarian cyst  hormon imbal  nutrit  upper leg pain  pregnanc  pregnanc test
1081,chest xray clear even signific lung problem  case  ct chest may discov abnorm chest xray  doctor help determin 1081,dysautonomia woke short breathi walk feel like need air  happen b4 spiral ct xray chest  heart echo stress test evth ok  help 1081,breast cancer  radiographi  communiti hospit  nutrit support 1081,environment allergi  stress  asthma  asthma adult  apnea  sleep apnea  environment allergi  hypersensit  breathless  obstruct sleep apnea
1082,sleep apnea said sleep apnea  treat cpap wear everi night calibr check anoth overnight sleep studi arent wear   event  pleas discuss current situat doctor immedi 1082,abl breath nose night due septum issu caus sleep apnea would risk high blood pressur 1082,sleep apnea  tmj syndrom  cosmet dentistri 1082,cardiovascular diseas  snore  high blood pressur  apnea  obstruct sleep apnea  sleep apnea  sleep  respiratori system  hypertens  sleep studi
1083,c luteum corpus luteum ovul earli corpus luteum pregnanc  hard say  physiolog pregnanc test 1083,ultrasound found small septat ovarian cyst right ovari danger 1083,fertil  polycyst ovarian syndrom  ivf pregnanc  pregnanc loss  endometriosi  uterin fibroid  uterin abnorm  hysteroscopi  laparoscop surgeri 1083,ovarian cyst  obstetr  sonogram  obstetr gynecolog
1084,see doctor serious condit must exclud physic examin test eg abdomin ultrasound  blood work 1084,spot 15day period due im due 10day cramp ovari nausea also lower back pain abdomen pain could pregnanc period symptom 1084,neuralgia  cluster headach 1084,abdomin pain  back pain  nausea  miss period  pain back  low back pain  pregnanc  pregnanc test
1085,fever amp ear infectio high fever  irrit full 72 hour amoxil mean either bacteri infect resist amoxil viral infect  need f u appt pediatrician asap  continu treatment   control fever  keep hydrat mean time  hope get better soon  good l 1085,3 year old boy fever 1 day  cough 3 day  wheez runni nose   xray say asthmat bronchiti   need antibiot 1085,children health  diarrhea  vaccin  pimpl  pediatr  otiti media  earach  ear infect  burn  asthma  lead poison  childhood immun 1085,rhiniti  bronchiti  asthma  cough  fever  pneumonia  wheez  roentgen ray  runni nose  bacteria
1086,milk allergi vast major adult cant toler milk actual suffer lactos intoler  effect actual allergi  even skin test came back posit  would recommend either avoid milk tri lactosefre milk product  even lactas supplement allow someon toler milk  question  see doctor gi doctor  good luck 1086,faint posit hpt w  first morn urin  neg dr  urin test later day  blood test came back post  drs urin test neg earli test 1086,diarrhea  ulcer  gastroesophag reflux diseas  irrit bowel syndrom  constip  nutrit  abdomin pain  helicobact pylori  gastriti  coliti  gallston  blood stool  cirrhosi liver  alkalin phosphatas  esophag  anti reflux surgeri  spinal cord injuri 1086,urinalysi  pregnanc  urin
1087,baselin age 3540 debat util mammogram age 4050 howev  current recommend baselin mammogram  year mammogram start age 40  1 st degre relat breast cancer young age  mammogram start 10 year prior age diagnosi  discuss time doctor decid what best 1087,doctor tell often women get mammogram 1087,breast cancer  trauma center 1087,breast cancer  cancer  mammogram  digit mammogram
1088,sprain take time sprain take time heal  still pain see foot doctor x ray taken ankl foot rule possibl ocd injuri ankl joint 1088,sprain ankl 3 month ago rugbi im play still swollen bruis run turn wrong hurt ok play 1088,diabet foot  orthot  wound care  biomechan  foot deform 1088,ankl sprain  sprain
1089,evalu concuss mean brain ben traumat  symptom last year would indic concuss mild  well awar concuss long term effect  need see neurologist evalu  brain scan eeg 1089,im scare brain annurisim  headach back head day asprin help eye pain nausea eye flash  go er 1089,scoliosi  back pain  surgeri  exercis  sciatica  spinal fusion  numb  abnorm curvatur spine  muscl strain  stiff neck  spinal stenosi  muscl atrophi  chronic pain  minim invas surgeri  spinal disk remov 1089,nausea  eye pain  headach  migrain headach  migrain  aneurysm  concuss  neurolog  aspirin  ophthalmolog
1090,supplement reduc gynecomastia 1090,uti sever time  experi pain testicl urin sometim swell vein test  got cultur done e coli pus cell semen urin  treatment 1090,facelift  eye lift  eyelid surgeri  forehead lift 1090,prostat  epididym  escherichia coli  levaquin  ciprofloxacin  levofloxacin  cipro  urin  urin  semen
1091,like viral like viral syndrom  would first tri conserv medic manag  lost fluid includ water juic  may take tylenol acetaminophen maximum 3000 mg day  assumpt dont liver diseas  symptom dont resolv within week  follow md evalu  good luck 1091,got flu shot friday  36 hour later sore throat headach  fever   could  immun respons vaccin 1091,pneumonia  heart attack  heart diseas  coronari arteri diseas  rapid heart beat 1091,fever  influenza  flu  headach  throat pain  sore throat  immun diseas  flu shot  vaccin  immun
1092,connect tmj connect salivari gland  probabl coincid 1092,caus salivari gland behind right ear jaw line swell 1092,nan 1092,mastoid  salivari gland
1093,hot water hurt  dont put hot water  dermatolog condit best diagnos look  see dermatologist podiatrist help 1093,athlet fungus feet heel itchi red bump rash look itchi 1093,plantar fasciiti  diabet foot  neuroma 1093,athlet foot  skin rash  athlet  rash  fungus
1094,mammo yes ultrasound alway 1094,mammogram aa breast 1094,ct scan  stroke  varicos vein  carotid arteri diseas  venous insuffici  vascular ultrasound  aorta bilater iliofemor runoff cta 1094,digit mammogram  alcohol anonym  mammogram
1095,barrel    earli copd might visibl chest xray  soon lung begin expand look larg imag  eventu lung take barrellik appear  final  part lung blow bleb seen area empti bubbl 1095,copd seen chest xray 1095,obstetr  prevent medicin  pediatr 1095,xray chest  copd
1096,see doc fever common get older kid  adolesc  sound sick  need see somebodi  hope joint pain due fever  call see doc go urgent care  take tylenol see help dont let stop get seen  almost everybodi believ tell fever tylenol brought check 1096,headach left sidetempl teeth  neck nausea spurt 4 day  ive migrain past usual sleep day  offic visit anyth 1096,nan 1096,headach  nausea  migrain headach  migrain  abort  acupunctur  sleep
1097,heart attack typic result platelet stick togeth block arteri heart  aspirin block platelet abil stick togeth decreas chanc blockag heart attack occur  reason  aspirin one effect medicin ever discov prevent heart attack  neither tylenol ibuprofen effect 1097,calcul drug dose ibuprofen acetaminophen 2 year old children   pharmacist 1097,aortic aneurysm  heart attack  cardiopulmonari resuscit 1097,tempra  rufen  panadol  nuprin  motrin  ibuprofen  children  advil  acetaminophen
1098,possibl sound like get sick  go see internist  would need cultur verifi strep throat  gargl warm salt water help sore throat  umcka cold flu help lot natur 1098,low grade fever  white back throat  bodi ach  congest  swollen gland  sore ear   could 1098,bone graft  dental implant  cosmet  mouth biopsi  wisdom tooth extract 1098,fever  swollen gland  enlarg lymph node  bodi ach  enlarg gland  low grade fever
1099,unlik carpal tunnel numb thumb  index  long usual half ring finger  joint pain like arthriti 1099,burn pain  tingl  occassion numb finger joint side finger  noth seem help   hand wrist xrayd  issu 1099,carpal tunnel syndrom  carpal tunnel releas  numb  arthriti  surgeri  hand bone fractur  broken bone  hand tendon injuri  congenit abnorm 1099,tingl  peripher neuropathi  numb  neuropathi  nerv damag  neurolog  nerv  burn pain  carpal tunnel syndrom
1100,like normal ct chest  point unlik cancer lung  caus upper back pain need investig  see doctor examin stop smoke 1100,loos wt5 kg 3mnths upper back shoulder pain 2 mnths get better massag rest  pain touch  chest ct normal  smoker  lung cancer 1100,cancer  prostat cancer  radiat therapi  ovarian cancer  breast cancer  cervic cancer  skin cancer  colorect cancer  enlarg neck lymph node  cancer treatment  bronchogen carcinoma  rectal cancer  palliat care  non small cell lung cancer  brachytherapi 1100,shoulder pain  cancer  lung cancer  smoke  massag  tactil  quit smoke  ct chest  comput tomographi  smoke cessat
1101,mayb wisdom teeth may due wisdom teeth   ent evalu 1101,lump throat caus right ear pain nausea head neck pain sever fatigu problem wirh balanc health insur choke food well hard breath lay 1101,dental implant  facial fractur  bone graft  wisdom tooth extract  tmj 1101,nausea  earach  neck pain  urinari urgenc  choke  urinari urgenc  lethargi  lump throat  insur  nutrit
1102,famili histori famili histori medic problem transmit genet dm hibp transmit genet cancer genet transmiss kidney stone genet disposit  life style matter huge dont smoke  maintain ideal weight keep diet excel low salt  low fat  high fruit veg whole grain exercis twice daili drink 3 liter per day fluid 1102,high blood pressur  diabet sleep apnea  im pain around right kidney   urin output increas   concern 1102,nutrit  kidney diseas  gout  nephrolithiasi  hypertens  kidney stone  sodium  exercis  potassium  urinari tract infect  nephrolog dialysi  abnorm blood pressur  dialysi  polycyst kidney diseas  periton dialysi  diabet nephropathi 1102,high blood pressur  diabet  diabet type 2  apnea  sleep apnea  hypertens  sleep  blood pressur  urin
1103,infect infect  mani possibl caus  possibl fractur root fail root canal  abscess wont heal without remov etc get endodontist asap 1103,lost crown lower back tooth  alreadi root canal coupl year ago  tooth close gum line  get crown 1103,root canal  tooth pain  abscess  surgeri  anxieti  canker sore  inflamm gum  blister mouth  antibiot  earach 1103,dentistri  root canal  crown
1104,infect infect  yes  best result wisdom teeth  make sure evalu treat board certifi oral  maxillofaci surgeon 1104,wisdom tooth caus tongu bump get rid 1104,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 1104,deal wisdom teeth  oral surgeri  oral maxillofaci surgeri  wisdom tooth extract
1105,pediatrician  pediatr pulmonologist ent order overnight sleep studi oximetri home  drop oxygen sleep  iron defici caus development delay  limit milk  milk product 1621 oz  day  recheck lab month iron supplement  use development screen firstsign org call state health divis earli intervent program assess 1105,caus angular cheiliti besid anemia vitamin defici 1105,child health  autism  children health  autism spectrum disord  adhd  sleep  adderal  anxieti  asperg syndrom  pediatr  depress  dextroamphetamin racem amphetamin  femal health  child develop  fetal alcohol syndrom  hyperact  behavior problem 1105,low blood count  inflamm  poor nutrit  vitamin defici  anemia  pain crack corner mouth  cosmet  vitamin supplement  vitamin b12  iron blood level
1106,hsv1  usual fever blister usual caus hsv1  caus hsv2 1106,virus caus genit herp caus cold sore 1106,tooth pain  dental care  oral surgeri  dental procedur  dental pain  dental health 1106,cold sore  genit herp  herp  fever  antivir  virus  herp simplex  hsv  sex
1107,bowel movement 2 hour long complet defec  would see gastroenterologist perform number test evalu motil abnorm  number medic impair motil possibl condit inherit caus lack motil larg intestin  definit seek consult board certifi gastroenterologist 1107,pericolac sheet suggest take bed time heal anal fissur hemorrhoid  best time regular colac taken often day 1107,women health  geriatr  palliat care  psychopharmacolog treatment  congest heart failur 1107,pericolac  metamucil  fece  hemorrhoid  docus sodium  colac  anal fissur
1108,thyroid nodul thyroid nodul divid hot cold thyroid nuclar scan  cold nodul one % may cancer requir biopsi  tissu grow fast suspici malign  also dive thyroid  ovul function  chang thyroid hormon function  normal thyroid dunction test 1108,20 year old thyroid problem past 16 year take thyroxin 100 mcg regular t3  t4 normal tsh >100 suggest 1108,depress  cerebr apoplexi  infertil  adhd 1108,armour thyroid  triiodothyronin  thyroxin  thyroid stimul hormon  t3  synthroid  liothyronin  levoxyl  levothyroxin
1109,see find yore pregnant  tri overth counter pregnanc test  peac mind  might want contact either primari care physician obgyn  thing cannot diagnos address internet : good luck 1109,swollen  sore heavi breast along nausea  also sweat lot troubl sleep even tho im tire  pms pregnanc 1109,depress  feel anxious  sleep hygien  stress manag 1109,insomnia  sleep disturb  perspir  nausea  premenstru syndrom  sleep  pregnanc
